app,real_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,observations,traces,within_application_time_probability,equal_trace_within_application_probability
Amazon_Prime,rsrp=-100|rsrq=-11|snr=4,-100,-11,4,12,3,0.0179372197309,0.0180003590066
Amazon_Prime,rsrp=-100|rsrq=-11|snr=3,-100,-11,3,10,3,0.0149476831091,0.0149883108138
Amazon_Prime,rsrp=-101|rsrq=-14|snr=-2,-101,-14,-2,10,1,0.0149476831091,0.014880952381
Amazon_Prime,rsrp=-99|rsrq=-9|snr=8,-99,-9,8,8,1,0.0119581464873,0.0120481927711
Amazon_Prime,rsrp=-100|rsrq=-10|snr=7,-100,-10,7,8,2,0.0119581464873,0.0120301565544
Amazon_Prime,rsrp=-100|rsrq=-11|snr=5,-100,-11,5,8,2,0.0119581464873,0.0119940841209
Amazon_Prime,rsrp=-100|rsrq=-13|snr=3,-100,-13,3,8,3,0.0119581464873,0.0119225834046
Amazon_Prime,rsrp=-99|rsrq=-10|snr=3,-99,-10,3,6,1,0.00896860986547,0.00903614457831
Amazon_Prime,rsrp=-100|rsrq=-10|snr=1,-100,-10,1,6,2,0.00896860986547,0.00901810836159
Amazon_Prime,rsrp=-100|rsrq=-10|snr=0,-100,-10,0,6,2,0.00896860986547,0.00900028686173
Amazon_Prime,rsrp=-100|rsrq=-10|snr=4,-100,-10,4,6,2,0.00896860986547,0.00900007214487
Amazon_Prime,rsrp=-100|rsrq=-10|snr=3,-100,-10,3,6,2,0.00896860986547,0.00896442914515
Amazon_Prime,rsrp=-100|rsrq=-15|snr=2,-100,-15,2,6,3,0.00896860986547,0.00896442914515
Amazon_Prime,rsrp=-101|rsrq=-11|snr=2,-101,-11,2,6,2,0.00896860986547,0.00896442914515
Amazon_Prime,rsrp=-99|rsrq=-14|snr=-1,-99,-14,-1,6,2,0.00896860986547,0.00896421442829
Amazon_Prime,rsrp=-100|rsrq=-12|snr=2,-100,-12,2,6,2,0.00896860986547,0.00894639292843
Amazon_Prime,rsrp=-98|rsrq=-11|snr=8,-98,-11,8,6,2,0.00896860986547,0.00894639292843
Amazon_Prime,rsrp=-101|rsrq=-14|snr=0,-101,-14,0,6,1,0.00896860986547,0.00892857142857
Amazon_Prime,rsrp=-101|rsrq=-15|snr=3,-101,-15,3,6,1,0.00896860986547,0.00892857142857
Amazon_Prime,rsrp=-98|rsrq=-12|snr=2,-98,-12,2,6,1,0.00896860986547,0.00892857142857
Amazon_Prime,rsrp=-98|rsrq=-14|snr=4,-98,-14,4,6,1,0.00896860986547,0.00892857142857
Amazon_Prime,rsrp=-99|rsrq=-10|snr=2,-99,-10,2,5,2,0.00747384155456,0.00749426276535
Amazon_Prime,rsrp=-100|rsrq=-10|snr=-1,-100,-10,-1,4,1,0.00597907324365,0.00602409638554
Amazon_Prime,rsrp=-100|rsrq=-10|snr=2,-100,-10,2,4,1,0.00597907324365,0.00602409638554
Amazon_Prime,rsrp=-100|rsrq=-15|snr=1,-100,-15,1,4,1,0.00597907324365,0.00602409638554
Amazon_Prime,rsrp=-99|rsrq=-10|snr=8,-99,-10,8,4,1,0.00597907324365,0.00602409638554
Amazon_Prime,rsrp=-99|rsrq=-11|snr=1,-99,-11,1,4,1,0.00597907324365,0.00602409638554
Amazon_Prime,rsrp=-100|rsrq=-11|snr=10,-100,-11,10,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-100|rsrq=-12|snr=6,-100,-12,6,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-98|rsrq=-12|snr=3,-98,-12,3,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-10|snr=11,-99,-10,11,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-10|snr=6,-99,-10,6,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-11|snr=-1,-99,-11,-1,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-11|snr=10,-99,-11,10,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-11|snr=2,-99,-11,2,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-11|snr=3,-99,-11,3,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-99|rsrq=-13|snr=4,-99,-13,4,4,2,0.00597907324365,0.00600606016882
Amazon_Prime,rsrp=-100|rsrq=-11|snr=7,-100,-11,7,4,2,0.00597907324365,0.00598823866896
Amazon_Prime,rsrp=-100|rsrq=-12|snr=0,-100,-12,0,4,2,0.00597907324365,0.00598823866896
Amazon_Prime,rsrp=-100|rsrq=-14|snr=3,-100,-14,3,4,2,0.00597907324365,0.00598823866896
Amazon_Prime,rsrp=-100|rsrq=-14|snr=4,-100,-14,4,4,2,0.00597907324365,0.00598823866896
Amazon_Prime,rsrp=-99|rsrq=-12|snr=4,-99,-12,4,4,2,0.00597907324365,0.00598823866896
Amazon_Prime,rsrp=-100|rsrq=-12|snr=4,-100,-12,4,4,1,0.00597907324365,0.0059880239521
Amazon_Prime,rsrp=-100|rsrq=-15|snr=3,-100,-15,3,4,1,0.00597907324365,0.0059880239521
Amazon_Prime,rsrp=-98|rsrq=-10|snr=1,-98,-10,1,4,1,0.00597907324365,0.0059880239521
Amazon_Prime,rsrp=-99|rsrq=-13|snr=-2,-99,-13,-2,4,1,0.00597907324365,0.0059880239521
Amazon_Prime,rsrp=-100|rsrq=-11|snr=6,-100,-11,6,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-100|rsrq=-14|snr=0,-100,-14,0,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-100|rsrq=-14|snr=1,-100,-14,1,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-100|rsrq=-14|snr=7,-100,-14,7,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-100|rsrq=-15|snr=-1,-100,-15,-1,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-98|rsrq=-12|snr=9,-98,-12,9,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-98|rsrq=-14|snr=1,-98,-14,1,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-99|rsrq=-11|snr=4,-99,-11,4,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-99|rsrq=-13|snr=2,-99,-13,2,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-99|rsrq=-13|snr=7,-99,-13,7,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-99|rsrq=-14|snr=2,-99,-14,2,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-99|rsrq=-15|snr=1,-99,-15,1,4,2,0.00597907324365,0.00597020245224
Amazon_Prime,rsrp=-100|rsrq=-13|snr=2,-100,-13,2,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-100|rsrq=-13|snr=4,-100,-13,4,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-100|rsrq=-17|snr=1,-100,-17,1,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-100|rsrq=-17|snr=2,-100,-17,2,4,2,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-11|snr=5,-101,-11,5,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-12|snr=1,-101,-12,1,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-15|snr=0,-101,-15,0,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-15|snr=1,-101,-15,1,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-16|snr=-1,-101,-16,-1,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-101|rsrq=-16|snr=1,-101,-16,1,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-98|rsrq=-13|snr=4,-98,-13,4,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-98|rsrq=-13|snr=5,-98,-13,5,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-98|rsrq=-14|snr=2,-98,-14,2,4,1,0.00597907324365,0.00595238095238
Amazon_Prime,rsrp=-98|rsrq=-15|snr=2,-98,-15,2,4,1,0.00597907324365,0.00595238095238
