real_rf_state_id,primary_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,mapped_control_state_id,mapped_ploss,mapped_noise_power_dB,mapped_ss_rsrp_dbm,mapped_ss_rsrq_db,mapped_ss_sinr_db_diagnostic,rsrp_absolute_error_db,rsrp_within_declared_tolerance,rsrq_absolute_error_db,rsrq_within_declared_tolerance,primary_distance,within_declared_tolerance,target_within_observed_primary_range,observations,traces,pooled_time_probability
rsrp=-101|rsrq=-14|snr=-2,rsrp=-101|rsrq=-14,-101,-14,-2,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.4134722222,True,3.4619694444,False,1.26852225267,False,False,12,2,0.00403090359422
rsrp=-101|rsrq=-11|snr=2,rsrp=-101|rsrq=-11,-101,-11,2,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.4134722222,True,0.4619694444,True,0.371041267542,True,False,12,4,0.00403090359422
rsrp=-100|rsrq=-11|snr=4,rsrp=-100|rsrq=-11,-100,-11,4,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,0.4134722222,True,0.4619694444,True,0.190196500076,True,False,12,3,0.00403090359422
rsrp=-97|rsrq=-16|snr=7,rsrp=-97|rsrq=-16,-97,-16,7,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,2.5865277778,True,5.4619694444,False,2.02504628097,False,False,12,1,0.00403090359422
rsrp=-101|rsrq=-16|snr=5,rsrp=-101|rsrq=-16,-101,-16,5,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.4134722222,True,5.4619694444,False,1.9596258387,False,False,11,1,0.00369499496137
rsrp=-98|rsrq=-16|snr=6,rsrp=-98|rsrq=-16,-98,-16,6,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.5865277778,True,5.4619694444,False,1.96697128101,False,False,11,3,0.00369499496137
rsrp=-101|rsrq=-12|snr=2,rsrp=-101|rsrq=-12,-101,-12,2,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.4134722222,True,1.4619694444,True,0.614950390941,True,False,10,2,0.00335908632852
rsrp=-101|rsrq=-11|snr=5,rsrp=-101|rsrq=-11,-101,-11,5,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,1.4134722222,True,0.4619694444,True,0.371041267542,True,False,10,2,0.00335908632852
rsrp=-100|rsrq=-13|snr=3,rsrp=-100|rsrq=-13,-100,-13,3,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,0.4134722222,True,2.4619694444,False,0.875876378744,False,False,10,4,0.00335908632852
rsrp=-100|rsrq=-12|snr=4,rsrp=-100|rsrq=-12,-100,-12,4,ploss=0|noise_power_dB=-5,0,-5,-99.5865277778,-10.5380305556,6.36910277778,0.4134722222,True,1.4619694444,True,0.525991511092,True,False,10,2,0.00335908632852
