scenario_id,trace_id,app,content,selected_window_start,selected_window_end,nominal_duration_seconds,observed_rf_seconds,missing_rf_seconds,rf_observation_coverage,joint_rf_states,observed_segments,sequence_runs,selection_weight,source_path,source_sha256
ucc-static-03c60d20f6ba6fb3,03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,2019-11-28T09:42:25,2019-11-28T09:45:24,180,168,12,0.933333333333,73,13,89,0.0555555555556,Netflix/Static/Season3-StrangerThings/B_2019.11.28_09.21.45.csv,920b559cd89d2712e4fe7dfa084ec46b456c2f268f87dafb2e3f12f9bba3b3c1
ucc-static-1ba730f3759c6951,1ba730f3759c6951,Download,,2020-02-27T20:25:19,2020-02-27T20:28:18,180,159,21,0.883333333333,66,21,84,0.0555555555556,Download/Static/B_2020.02.27_18.39.27.csv,0d87594f6a7ebff6fa2c12301894f11d41e7e9283c272a94831dccb9068e70ec
ucc-static-2dc8c02567a09355,2dc8c02567a09355,Netflix,animated-RickandMorty,2019-11-26T08:02:40,2019-11-26T08:05:39,180,168,12,0.933333333333,80,13,91,0.0555555555556,Netflix/Static/animated-RickandMorty/B_2019.11.26_08.02.38.csv,89fb9583882e3f11ac31e2382c6ef0d893e7778c4ce938dc1fb3de666cbba68f
ucc-static-36136c5b56bfc346,36136c5b56bfc346,Netflix,Season3-StrangerThings,2019-12-06T11:14:12,2019-12-06T11:17:11,180,168,12,0.933333333333,80,13,88,0.0555555555556,Netflix/Static/Season3-StrangerThings/B_2019.12.06_09.55.13.csv,aa08a732f76afa8e3262b49176bb0ce393fcec0c99b5121b4247f6825bd7af06
ucc-static-378c89495d537086,378c89495d537086,Download,,2020-01-16T11:30:06,2020-01-16T11:33:05,180,159,21,0.883333333333,63,22,85,0.0555555555556,Download/Static/B_2020.01.16_10.43.34.csv,2deb1791b38926426153e77438916468f97feec7659f73e81b7e609434fdacc2
ucc-static-6e56376f8430a3bc,6e56376f8430a3bc,Download,,2020-02-13T14:47:43,2020-02-13T14:50:42,180,161,19,0.894444444444,60,19,79,0.0555555555556,Download/Static/B_2020.02.13_13.57.29.csv,d670a3463d683959094f47f6caacb70d65bd4081dc24d5b3a93b35f8a04495b1
ucc-static-706bde2b5e935178,706bde2b5e935178,Netflix,Season3-StrangerThings,2019-12-16T13:19:39,2019-12-16T13:22:38,180,168,12,0.933333333333,75,13,90,0.0555555555556,Netflix/Static/Season3-StrangerThings/B_2019.12.16_13.03.47.csv,997699d37ecde4da43f4496661c80fdd2d0d868754a9c8002c97246f6fdb6fda
ucc-static-88f027729cf13aeb,88f027729cf13aeb,Netflix,animated-RickandMorty,2019-11-28T08:03:39,2019-11-28T08:06:38,180,168,12,0.933333333333,69,13,91,0.0555555555556,Netflix/Static/animated-RickandMorty/B_2019.11.28_08.02.19.csv,9ede862eaa8358286101655808cda9060515aba9fb325575ac8d72c3acf81093
ucc-static-9879d08c2a797a39,9879d08c2a797a39,Amazon_Prime,Season3-TheExpanse,2020-01-03T11:54:03,2020-01-03T11:57:02,180,167,13,0.927777777778,74,14,89,0.0555555555556,Amazon_Prime/Static/Season3-TheExpanse/B_2020.01.03_10.54.39.csv,6e0123f812771517630c5214f05ef14cc102e09afa626d889423025a00d31e52
ucc-static-98b9b98d701e5aa3,98b9b98d701e5aa3,Amazon_Prime,Season3-TheExpanse,2019-12-19T15:21:00,2019-12-19T15:23:59,180,168,12,0.933333333333,71,13,88,0.0555555555556,Amazon_Prime/Static/Season3-TheExpanse/B_2019.12.19_15.00.47.csv,6b5895c275b963b511cb050602c0eef5df3ab893c15af1b9c1c4c12e52e67aa6
ucc-static-b3d3737b89de0369,b3d3737b89de0369,Netflix,Season3-StrangerThings,2019-11-26T13:50:48,2019-11-26T13:53:47,180,167,13,0.927777777778,69,14,92,0.0555555555556,Netflix/Static/Season3-StrangerThings/B_2019.11.26_13.50.48.csv,8b45e6401ad46bc223ac72164ce674ccd770d41d85fcbe4b237beb3d745229c6
ucc-static-c029943772ad455f,c029943772ad455f,Download,,2020-02-14T13:23:10,2020-02-14T13:26:09,180,158,22,0.877777777778,72,21,87,0.0555555555556,Download/Static/B_2020.02.14_13.21.26.csv,b8c494344734ff2dc34dd52a7833db96e9fc423731080b5a04e61058d8ad584b
ucc-static-c672dae122ab5731,c672dae122ab5731,Amazon_Prime,Season3-TheExpanse,2020-01-03T09:00:00,2020-01-03T09:02:59,180,166,14,0.922222222222,66,15,90,0.0555555555556,Amazon_Prime/Static/Season3-TheExpanse/B_2020.01.03_08.59.40.csv,f084241161014bb71b28c1fa8a177a95cb2f8e0f0700d6e1d072a82edef5d4af
ucc-static-d5c8cfbdaef26f64,d5c8cfbdaef26f64,Download,,2019-12-16T14:12:40,2019-12-16T14:15:39,180,161,19,0.894444444444,67,20,82,0.0555555555556,Download/Static/B_2019.12.16_13.40.04.csv,34040836e290bdca909f14c97af33c006275267b5397bc76724bd33c07e03769
ucc-static-e6dc9af174051f0c,e6dc9af174051f0c,Netflix,Season3-StrangerThings,2019-12-03T08:07:36,2019-12-03T08:10:35,180,168,12,0.933333333333,51,13,84,0.0555555555556,Netflix/Static/Season3-StrangerThings/B_2019.12.03_08.02.05.csv,aceef6888b48442a67afe2aa94db20544682ac4b692b6c6c2ba7ffb9b6dbdd88
ucc-static-ea48334e3dc57ed4,ea48334e3dc57ed4,Amazon_Prime,Season3-TheExpanse,2019-12-23T11:11:06,2019-12-23T11:14:05,180,168,12,0.933333333333,63,13,89,0.0555555555556,Amazon_Prime/Static/Season3-TheExpanse/B_2019.12.23_10.30.35.csv,f206c175517933f3d685f4830fad2366ee9f8faf802a008cc9ab2d825bd06f1c
