trace_id,app,content,observations,unique_real_rf_states,representable_observations,representable_fraction,rsrp_within_tolerance_fraction,rsrq_within_tolerance_fraction,in_observed_primary_range_fraction,rsrp_absolute_error_db_mean,rsrp_absolute_error_db_p95,rsrq_absolute_error_db_mean,rsrq_absolute_error_db_p95
03c60d20f6ba6fb3,Netflix,Season3-StrangerThings,168,73,0,0,0,0.339285714286,0,10.687718254,12.5865277778,3.32597017191,6.4619694444
1ba730f3759c6951,Download,,159,66,42,0.264150943396,0.798742138365,0.314465408805,0,2.2573069532,3.5865277778,3.7202389762,6.4619694444
2dc8c02567a09355,Netflix,animated-RickandMorty,168,80,0,0,0,0.345238095238,0,7.05081349209,8.5865277778,3.1771606481,6.4619694444
36136c5b56bfc346,Netflix,Season3-StrangerThings,168,80,96,0.571428571429,0.845238095238,0.690476190476,0,1.75550264549,3.4134722222,1.86555906083,5.4619694444
378c89495d537086,Download,,159,63,2,0.0125786163522,0.182389937107,0.100628930818,0,3.56677536673,3.990297222,5.39441892032,8.4750888889
6e56376f8430a3bc,Download,,161,60,56,0.347826086957,1,0.347826086957,0,0.873208247067,1.5865277778,3.33288234986,5.4619694444
706bde2b5e935178,Netflix,Season3-StrangerThings,168,75,55,0.327380952381,0.922619047619,0.35119047619,0,1.78387566139,3.5865277778,2.89830423276,5.4619694444
88f027729cf13aeb,Netflix,animated-RickandMorty,168,69,0,0,0,0.369047619048,0,9.29486111113,10.5865277778,2.75221117721,5.4619694444
9879d08c2a797a39,Amazon_Prime,Season3-TheExpanse,167,74,105,0.62874251497,1,0.62874251497,0,0.713437292085,1.5865277778,1.71743135393,4.4619694444
98b9b98d701e5aa3,Amazon_Prime,Season3-TheExpanse,168,71,32,0.190476190476,1,0.190476190476,0,1.37957010584,2.5865277778,3.6533511243,6.4619694444
b3d3737b89de0369,Netflix,Season3-StrangerThings,167,69,72,0.431137724551,0.85628742515,0.491017964072,0,1.68959991679,3.990297222,2.25078306716,5.4619694444
c029943772ad455f,Download,,158,72,6,0.0379746835443,0.253164556962,0.23417721519,0,3.32848313985,3.990297222,4.0749280063,7.4750888889
c672dae122ab5731,Amazon_Prime,Season3-TheExpanse,166,66,140,0.843373493976,1,0.843373493976,0,0.648286479248,1.5865277778,1.25720334672,4.4619694444
d5c8cfbdaef26f64,Download,,161,67,19,0.11801242236,0.186335403727,0.291925465839,0,3.84739734302,5.5865277778,3.59618366111,6.4619694444
e6dc9af174051f0c,Netflix,Season3-StrangerThings,168,51,0,0,0,0.892857142857,0,19.0150992064,19.5865277778,0.981623412705,3.4619694444
ea48334e3dc57ed4,Amazon_Prime,Season3-TheExpanse,168,63,58,0.345238095238,1,0.345238095238,0,1.01283068781,1.4134722222,2.82454523806,5.4619694444
ed4f832c1ef9f131,Netflix,Season3-StrangerThings,167,81,34,0.203592814371,0.85628742515,0.311377245509,0,1.71884048567,3.990297222,3.59566551893,7.4619694444
f609ac4f39a5c67b,Netflix,animated-RickandMorty,168,74,0,0,0,0.0952380952381,0,7.62224206351,9.5865277778,3.61673134916,5.4619694444
