from_state_id,to_state_id,transitions,traces,conditional_probability
rsrp=-101|rsrq=-16|snr=5,rsrp=-101|rsrq=-16|snr=5,7,1,0.636363636364
rsrp=-80|rsrq=-10|snr=0,rsrp=-80|rsrq=-10|snr=0,7,1,0.7
rsrp=-97|rsrq=-16|snr=7,rsrp=-97|rsrq=-16|snr=7,7,1,0.636363636364
rsrp=-100|rsrq=-11|snr=4,rsrp=-100|rsrq=-11|snr=4,6,3,0.5
rsrp=-101|rsrq=-11|snr=2,rsrp=-101|rsrq=-11|snr=2,6,4,0.545454545455
rsrp=-101|rsrq=-14|snr=-2,rsrp=-101|rsrq=-14|snr=-2,6,2,0.5
rsrp=-98|rsrq=-16|snr=6,rsrp=-98|rsrq=-16|snr=6,6,3,0.6
rsrp=-99|rsrq=-12|snr=4,rsrp=-99|rsrq=-12|snr=4,6,3,0.6
rsrp=-100|rsrq=-12|snr=4,rsrp=-100|rsrq=-12|snr=4,5,2,0.5
rsrp=-100|rsrq=-13|snr=3,rsrp=-100|rsrq=-13|snr=3,5,4,0.5
rsrp=-101|rsrq=-11|snr=5,rsrp=-101|rsrq=-11|snr=5,5,2,0.5
rsrp=-101|rsrq=-12|snr=2,rsrp=-101|rsrq=-12|snr=2,5,2,0.555555555556
rsrp=-104|rsrq=-16|snr=0,rsrp=-104|rsrq=-16|snr=0,5,1,0.555555555556
rsrp=-81|rsrq=-10|snr=3,rsrp=-81|rsrq=-10|snr=3,5,1,0.625
rsrp=-92|rsrq=-13|snr=2,rsrp=-92|rsrq=-13|snr=2,5,2,0.5
rsrp=-97|rsrq=-16|snr=5,rsrp=-97|rsrq=-16|snr=5,5,3,0.5
rsrp=-98|rsrq=-15|snr=2,rsrp=-98|rsrq=-15|snr=2,5,2,0.625
rsrp=-99|rsrq=-9|snr=8,rsrp=-99|rsrq=-9|snr=8,5,1,0.625
rsrp=-100|rsrq=-10|snr=7,rsrp=-100|rsrq=-10|snr=7,4,2,0.444444444444
rsrp=-100|rsrq=-11|snr=1,rsrp=-100|rsrq=-11|snr=1,4,2,0.571428571429
rsrp=-100|rsrq=-11|snr=3,rsrp=-100|rsrq=-11|snr=3,4,3,0.5
rsrp=-100|rsrq=-11|snr=7,rsrp=-100|rsrq=-11|snr=7,4,4,0.571428571429
rsrp=-100|rsrq=-14|snr=7,rsrp=-100|rsrq=-14|snr=7,4,3,0.571428571429
rsrp=-101|rsrq=-12|snr=-1,rsrp=-101|rsrq=-12|snr=-1,4,3,0.5
rsrp=-101|rsrq=-12|snr=1,rsrp=-101|rsrq=-12|snr=1,4,3,0.571428571429
rsrp=-101|rsrq=-13|snr=-2,rsrp=-101|rsrq=-13|snr=-2,4,3,0.5
rsrp=-103|rsrq=-15|snr=0,rsrp=-103|rsrq=-15|snr=0,4,2,0.571428571429
rsrp=-104|rsrq=-18|snr=0,rsrp=-104|rsrq=-18|snr=0,4,2,0.5
rsrp=-80|rsrq=-10|snr=2,rsrp=-80|rsrq=-10|snr=2,4,1,0.5
rsrp=-81|rsrq=-10|snr=4,rsrp=-81|rsrq=-10|snr=4,4,1,0.571428571429
rsrp=-90|rsrq=-11|snr=3,rsrp=-90|rsrq=-11|snr=3,4,2,0.5
rsrp=-90|rsrq=-12|snr=0,rsrp=-90|rsrq=-12|snr=0,4,2,0.5
rsrp=-90|rsrq=-13|snr=1,rsrp=-90|rsrq=-13|snr=1,4,3,0.571428571429
rsrp=-91|rsrq=-14|snr=-1,rsrp=-91|rsrq=-14|snr=-1,4,3,0.5
rsrp=-96|rsrq=-15|snr=5,rsrp=-96|rsrq=-15|snr=5,4,1,0.666666666667
rsrp=-96|rsrq=-16|snr=5,rsrp=-96|rsrq=-16|snr=5,4,2,0.8
rsrp=-98|rsrq=-12|snr=2,rsrp=-98|rsrq=-12|snr=2,4,2,0.5
rsrp=-98|rsrq=-17|snr=3,rsrp=-98|rsrq=-17|snr=3,4,2,0.666666666667
rsrp=-99|rsrq=-10|snr=3,rsrp=-99|rsrq=-10|snr=3,4,2,0.571428571429
rsrp=-99|rsrq=-11|snr=1,rsrp=-99|rsrq=-11|snr=1,4,3,0.571428571429
rsrp=-99|rsrq=-13|snr=-2,rsrp=-99|rsrq=-13|snr=-2,4,3,0.5
