real_rf_state_id,dwell_runs,total_seconds,duration_seconds_mean,duration_seconds_p50,duration_seconds_p90,duration_seconds_max
rsrp=-100|rsrq=-11|snr=4,6,12,2,2,2,2
rsrp=-101|rsrq=-11|snr=2,6,12,2,2,2,2
rsrp=-101|rsrq=-14|snr=-2,6,12,2,2,2,2
rsrp=-97|rsrq=-16|snr=7,5,12,2.4,2,3.2,4
rsrp=-101|rsrq=-16|snr=5,4,11,2.75,2,4.1,5
rsrp=-98|rsrq=-16|snr=6,5,11,2.2,2,2.6,3
rsrp=-100|rsrq=-10|snr=7,6,10,1.66666666667,2,2,2
rsrp=-100|rsrq=-11|snr=3,6,10,1.66666666667,2,2,2
rsrp=-100|rsrq=-12|snr=4,5,10,2,2,2,2
rsrp=-100|rsrq=-13|snr=3,5,10,2,2,2,2
rsrp=-101|rsrq=-11|snr=5,5,10,2,2,2,2
rsrp=-101|rsrq=-12|snr=2,5,10,2,2,2,2
rsrp=-80|rsrq=-10|snr=0,3,10,3.33333333333,2,5.2,6
rsrp=-81|rsrq=-10|snr=3,5,10,2,2,2,2
rsrp=-92|rsrq=-13|snr=2,5,10,2,2,2,2
rsrp=-97|rsrq=-16|snr=5,5,10,2,2,2,2
rsrp=-98|rsrq=-12|snr=2,6,10,1.66666666667,2,2,2
rsrp=-99|rsrq=-12|snr=4,4,10,2.5,2,3.4,4
rsrp=-104|rsrq=-16|snr=0,4,9,2.25,2,2.7,3
rsrp=-100|rsrq=-10|snr=3,5,8,1.6,2,2,2
rsrp=-100|rsrq=-11|snr=1,4,8,2,2,2,2
rsrp=-100|rsrq=-11|snr=5,6,8,1.33333333333,1,2,2
rsrp=-100|rsrq=-11|snr=7,4,8,2,2,2,2
rsrp=-100|rsrq=-14|snr=7,4,8,2,2,2,2
rsrp=-101|rsrq=-11|snr=3,5,8,1.6,2,2,2
rsrp=-101|rsrq=-12|snr=-1,4,8,2,2,2,2
rsrp=-101|rsrq=-12|snr=1,4,8,2,2,2,2
rsrp=-101|rsrq=-13|snr=-2,4,8,2,2,2,2
rsrp=-101|rsrq=-14|snr=0,6,8,1.33333333333,1,2,2
rsrp=-104|rsrq=-14|snr=-2,5,8,1.6,2,2,2
rsrp=-104|rsrq=-18|snr=0,4,8,2,2,2,2
rsrp=-80|rsrq=-10|snr=2,4,8,2,2,2,2
rsrp=-81|rsrq=-10|snr=4,4,8,2,1.5,3.4,4
rsrp=-90|rsrq=-11|snr=3,4,8,2,2,2,2
