real_rf_state_id,target_rsrp_dbm,target_rsrq_db,target_snr_db,observations,traces,pooled_time_probability,equal_trace_probability
rsrp=-97|rsrq=-16|snr=7,-97,-16,7,12,1,0.00403090359422,0.0041928721174
rsrp=-100|rsrq=-11|snr=4,-100,-11,4,12,3,0.00403090359422,0.00400007977924
rsrp=-101|rsrq=-11|snr=2,-101,-11,2,12,4,0.00403090359422,0.00398414301632
rsrp=-101|rsrq=-14|snr=-2,-101,-14,-2,12,2,0.00403090359422,0.00396825396825
rsrp=-101|rsrq=-16|snr=5,-101,-16,5,11,1,0.00369499496137,0.00379572118703
rsrp=-98|rsrq=-16|snr=6,-98,-16,6,11,3,0.00369499496137,0.00371737546301
rsrp=-99|rsrq=-12|snr=4,-99,-12,4,10,3,0.00335908632852,0.00340111307895
rsrp=-97|rsrq=-16|snr=5,-97,-16,5,10,3,0.00335908632852,0.00338967168986
rsrp=-100|rsrq=-10|snr=7,-100,-10,7,10,3,0.00335908632852,0.00333870411787
rsrp=-100|rsrq=-11|snr=3,-100,-11,3,10,3,0.00335908632852,0.00333073573641
rsrp=-101|rsrq=-12|snr=2,-101,-12,2,10,2,0.00335908632852,0.00333068802155
rsrp=-100|rsrq=-12|snr=4,-100,-12,4,10,2,0.00335908632852,0.00332667997339
rsrp=-101|rsrq=-11|snr=5,-101,-11,5,10,2,0.00335908632852,0.00331875930678
rsrp=-100|rsrq=-13|snr=3,-100,-13,3,10,4,0.00335908632852,0.00331479897348
rsrp=-98|rsrq=-12|snr=2,-98,-12,2,10,2,0.00335908632852,0.00330687830688
rsrp=-92|rsrq=-13|snr=2,-92,-13,2,10,2,0.00335908632852,0.00330687830688
rsrp=-81|rsrq=-10|snr=3,-81,-10,3,10,1,0.00335908632852,0.00330687830688
rsrp=-80|rsrq=-10|snr=0,-80,-10,0,10,1,0.00335908632852,0.00330687830688
rsrp=-104|rsrq=-16|snr=0,-104,-16,0,9,1,0.00302317769567,0.00314465408805
rsrp=-104|rsrq=-18|snr=0,-104,-18,0,8,2,0.00268726906281,0.00279967093915
rsrp=-104|rsrq=-14|snr=-2,-104,-14,-2,8,2,0.00268726906281,0.00276177205338
rsrp=-99|rsrq=-15|snr=3,-99,-15,3,8,3,0.00268726906281,0.00272433569519
rsrp=-100|rsrq=-14|snr=7,-100,-14,7,8,3,0.00268726906281,0.00270697390588
rsrp=-99|rsrq=-13|snr=7,-99,-13,7,8,3,0.00268726906281,0.00270697390588
rsrp=-99|rsrq=-10|snr=3,-99,-10,3,8,2,0.00268726906281,0.00269816325343
rsrp=-99|rsrq=-11|snr=1,-99,-11,1,8,3,0.00268726906281,0.00269415520527
rsrp=-100|rsrq=-11|snr=7,-100,-11,7,8,4,0.00268726906281,0.0026861868238
rsrp=-99|rsrq=-9|snr=8,-99,-9,8,8,1,0.00268726906281,0.00267737617135
rsrp=-101|rsrq=-12|snr=1,-101,-12,1,8,3,0.00268726906281,0.00267425810904
rsrp=-100|rsrq=-11|snr=5,-100,-11,5,8,2,0.00268726906281,0.00266535202687
rsrp=-101|rsrq=-11|snr=3,-101,-11,3,8,4,0.00268726906281,0.00266139169357
rsrp=-100|rsrq=-10|snr=3,-100,-10,3,8,3,0.00268726906281,0.00265743136027
rsrp=-99|rsrq=-13|snr=-2,-99,-13,-2,8,3,0.00268726906281,0.00265738364541
rsrp=-100|rsrq=-11|snr=1,-100,-11,1,8,2,0.00268726906281,0.00265738364541
rsrp=-101|rsrq=-13|snr=-2,-101,-13,-2,8,3,0.00268726906281,0.00265342331211
rsrp=-101|rsrq=-14|snr=0,-101,-14,0,8,2,0.00268726906281,0.0026494629788
rsrp=-101|rsrq=-12|snr=-1,-101,-12,-1,8,3,0.00268726906281,0.0026494629788
rsrp=-98|rsrq=-15|snr=2,-98,-15,2,8,2,0.00268726906281,0.0026455026455
rsrp=-98|rsrq=-14|snr=4,-98,-14,4,8,2,0.00268726906281,0.0026455026455
rsrp=-91|rsrq=-14|snr=-1,-91,-14,-1,8,3,0.00268726906281,0.0026455026455
rsrp=-90|rsrq=-13|snr=1,-90,-13,1,8,3,0.00268726906281,0.0026455026455
rsrp=-90|rsrq=-12|snr=0,-90,-12,0,8,2,0.00268726906281,0.0026455026455
rsrp=-90|rsrq=-11|snr=3,-90,-11,3,8,2,0.00268726906281,0.0026455026455
rsrp=-81|rsrq=-10|snr=4,-81,-10,4,8,1,0.00268726906281,0.0026455026455
rsrp=-80|rsrq=-10|snr=2,-80,-10,2,8,1,0.00268726906281,0.0026455026455
rsrp=-103|rsrq=-15|snr=0,-103,-15,0,7,2,0.00235136042996,0.00245689922069
rsrp=-99|rsrq=-16|snr=6,-99,-16,6,7,1,0.00235136042996,0.0024154589372
rsrp=-96|rsrq=-15|snr=5,-96,-15,5,7,1,0.00235136042996,0.0024154589372
rsrp=-98|rsrq=-17|snr=3,-98,-17,3,7,2,0.00235136042996,0.0023709693521
rsrp=-103|rsrq=-17|snr=0,-103,-17,0,6,1,0.00201545179711,0.00210970464135
rsrp=-104|rsrq=-17|snr=1,-104,-17,1,6,2,0.00201545179711,0.00210085891958
rsrp=-103|rsrq=-17|snr=1,-103,-17,1,6,2,0.00201545179711,0.00210085891958
rsrp=-96|rsrq=-16|snr=5,-96,-16,5,6,2,0.00201545179711,0.00207907426939
rsrp=-96|rsrq=-15|snr=4,-96,-15,4,6,2,0.00201545179711,0.00207907426939
rsrp=-103|rsrq=-13|snr=-1,-103,-13,-1,6,3,0.00201545179711,0.00206342256139
rsrp=-105|rsrq=-18|snr=1,-105,-18,1,6,2,0.00201545179711,0.00206296003381
rsrp=-97|rsrq=-14|snr=6,-97,-14,6,6,2,0.00201545179711,0.00206296003381
rsrp=-98|rsrq=-12|snr=5,-98,-12,5,6,2,0.00201545179711,0.00205899970051
rsrp=-99|rsrq=-15|snr=5,-99,-15,5,6,3,0.00201545179711,0.00205031880586
rsrp=-101|rsrq=-10|snr=6,-101,-10,6,6,2,0.00201545179711,0.0020416379112
rsrp=-100|rsrq=-12|snr=5,-100,-12,5,6,2,0.00201545179711,0.0020416379112
