assertion_id,snippet_id,source,revision,relative_path,file_sha256,fact,snippet,occurrence_count,first_line,line_text,verified
1,1,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI serving SS-RSRP uses the SSS resource elements and reports dBm per RE.,SS reference signal received power (SS-RSRP) as per clause 5.1.1,1,173,// - SS reference signal received power (SS-RSRP) as per clause 5.1.1 of 3GPP TS 38.215 version 16.3.0 Release 16,True
1,2,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI serving SS-RSRP uses the SSS resource elements and reports dBm per RE.,rsrp_db_per_re + 30 - SQ15_SQUARED_NORM_FACTOR_DB,1,195,ue->measurements.ssb_rsrp_dBm[ssb_index] = rsrp_db_per_re + 30 - SQ15_SQUARED_NORM_FACTOR_DB,True
1,3,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI serving SS-RSRP uses the SSS resource elements and reports dBm per RE.,- ((int)cfg0->rx_gain[0] - (int)cfg0->rx_gain_offset[0]),1,196,- ((int)cfg0->rx_gain[0] - (int)cfg0->rx_gain_offset[0]),True
1,4,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair1/PHY/NR_UE_ESTIMATION/nr_ue_measurements.c,eed3d50e74ff43e5b316d1e89015da974d352baeac5f2405f6968f3a4d1f5837,OAI serving SS-RSRP uses the SSS resource elements and reports dBm per RE.,- dB_fixed(fp->ofdm_symbol_size);,2,197,- dB_fixed(fp->ofdm_symbol_size);,True
2,1,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,Stock RFsim resets the receive-gain metadata used by the RSRP formula.,openair0_cfg->rx_gain[0] = 0;,1,1630,openair0_cfg->rx_gain[0] = 0;,True
3,1,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,RFsim ploss is a path-gain control with an amplitude multiplier of 10^(ploss/20).,channelDesc->path_loss_dB should contain the total path gain,1,218,// channelDesc->path_loss_dB should contain the total path gain,True
3,2,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,RFsim ploss is a path-gain control with an amplitude multiplier of 10^(ploss/20).,"pow(10, channelDesc->path_loss_dB / 20.0)",1,222,"const double pathLossLinear = pow(10, channelDesc->path_loss_dB / 20.0);",True
4,1,oai,70508ebaf52f2aae420566d380c6537f2efb9f0c,openair2/LAYER2/NR_MAC_UE/nr_ue_power_procedures.c,c58662969fbd0dcfb28abcdde8fded363e707942cbfa3ca77e015fbf432ecd3b,OAI derives SSB path loss as signalled reference-signal power minus measured SS-RSRP.,referenceSignalPower - max_ssb_rsrp_dBm,1,411,int16_t pathloss = (int16_t)(referenceSignalPower - max_ssb_rsrp_dBm);,True
5,1,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,bin/patch-oai-rfsim-rsrp-calibration.py,199d9a42883b0e9cdc8fa1a217fa770ef2f55827f711a66705bbea1d79d1c230,The profile applies rsrp_offset_dB once through RFsim receive-gain metadata.,openair0_cfg->rx_gain[0] = -rfsimulator->rsrp_offset_dB;,2,29,"""openair0_cfg->rx_gain[0] = -rfsimulator->rsrp_offset_dB;"",",True
6,1,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,bin/patch-oai-ue-radio-measurements.py,52cf9bba689fbb400595190e7d597eb2cfb33c065a200d03ce510883fc45995a,"UE_RADIO_V1 averages OAI serving-SSB RSRP, RSRQ and SINR within each UTC second.",UE_RADIO_V1 utc_second=,1,72,"""UE_RADIO_V1 utc_second=%lld emitted_epoch_us=%lld ue=%d cell=%u ssb=%d samples=%u """,True
6,2,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,bin/patch-oai-ue-radio-measurements.py,52cf9bba689fbb400595190e7d597eb2cfb33c065a200d03ce510883fc45995a,"UE_RADIO_V1 averages OAI serving-SSB RSRP, RSRQ and SINR within each UTC second.",ue->measurements.ssb_rsrp_dBm[ssb_index],1,106,"ue->measurements.ssb_rsrp_dBm[ssb_index],",True
6,3,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,bin/patch-oai-ue-radio-measurements.py,52cf9bba689fbb400595190e7d597eb2cfb33c065a200d03ce510883fc45995a,"UE_RADIO_V1 averages OAI serving-SSB RSRP, RSRQ and SINR within each UTC second.",ue_radio_second.rsrp_sum / ue_radio_second.samples,1,80,"ue_radio_second.rsrp_sum / ue_radio_second.samples,",True
7,1,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,etc/nr-ue.conf.tmpl,9bdd8bc248e459b382dbe0b51baa6dc5b6cbc6cd3c42ab72db3605df4fc47b1e,The executed RFsim campaigns configured a -56 dB reporting offset.,rsrp_offset_dB = -56.0;,1,22,rsrp_offset_dB = -56.0;,True
8,1,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,etc/gnb-cell.conf.tmpl,f713b72422e35a557e733e268740094a96cc684ddf3dc5818d0d6fe0af9df904,The profile signals -25 dBm/RE SS/PBCH power and uses zero RF attenuation.,ssPBCH_BlockPower                                             = -25;,1,65,ssPBCH_BlockPower                                             = -25;,True
8,2,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,etc/gnb-cell.conf.tmpl,f713b72422e35a557e733e268740094a96cc684ddf3dc5818d0d6fe0af9df904,The profile signals -25 dBm/RE SS/PBCH power and uses zero RF attenuation.,att_tx         = 0,1,109,att_tx         = 0,True
8,3,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,etc/gnb-cell.conf.tmpl,f713b72422e35a557e733e268740094a96cc684ddf3dc5818d0d6fe0af9df904,The profile signals -25 dBm/RE SS/PBCH power and uses zero RF attenuation.,max_pdschReferenceSignalPower = -27;,1,112,max_pdschReferenceSignalPower = -27;,True
9,1,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,README.md,3a34c2c322a7b4ff46d99846ea93c89cf68405ca6458e1c40496b19369130189,The -56 dB value was selected empirically to map one RFsim baseline to a real-data reference.,"profile uses `-56.0 dB`, mapping the healthy zero-loss RFsim",1,282,"change SS-SINR. The profile uses `-56.0 dB`, mapping the healthy zero-loss RFsim",True
9,2,profile,e6d5d9202ec4492b5c67b13aeaea7b415177ed9b,README.md,3a34c2c322a7b4ff46d99846ea93c89cf68405ca6458e1c40496b19369130189,The -56 dB value was selected empirically to map one RFsim baseline to a real-data reference.,baseline from about `-41 dBm` to the strongest steady reference at `-97 dBm`,1,283,baseline from about `-41 dBm` to the strongest steady reference at `-97 dBm`.,True
