metric,source_kind,source_key,locked_role,device,candidate_id,ploss,noise_power_dB,sample_count,unique_value_count,constant_distribution,minimum,p10,p25,median,p75,p90,maximum,iqr,standard_deviation_ddof1
SINR,RFsim,mgen-20260810-170448,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-30,-5,-30,160,18,False,40.9,41.95,42.7,42.7,42.7,45.7,45.7,0,1.32065173244
SINR,RFsim,mgen-20260810-171135,analysis_window_15_175s,OAI_UE,ploss=-10|noise=-30,-10,-30,160,63,False,36.536,37.733,38.133,39.542,39.5625,42.542,42.583,1.4295,1.54509535435
SINR,RFsim,mgen-20260810-171719,analysis_window_15_175s,OAI_UE,ploss=-15|noise=-30,-15,-30,160,41,False,27.8,29.6,29.608,29.625,29.633,31.1203,32.642,0.025,1.03647406604
SINR,RFsim,mgen-20260810-172302,analysis_window_15_175s,OAI_UE,ploss=-20|noise=-30,-20,-30,160,46,False,28.408,30.0894,30.225,30.242,30.56225,33.242,33.275,0.33725,1.34859998772
SINR,RFsim,mgen-20260810-172844,analysis_window_15_175s,OAI_UE,ploss=0|noise=-20,0,-20,160,74,False,40.3,40.9,41.2495,41.987,42.41125,42.7498,44.509,1.16175,0.85932999204
SINR,RFsim,mgen-20260810-173427,analysis_window_15_175s,OAI_UE,ploss=0|noise=-10,0,-10,160,123,False,16.558,17.4545,17.56925,18.2415,18.81025,19.2,20.317,1.241,0.741349425756
SINR,RFsim,mgen-20260810-174009,analysis_window_15_175s,OAI_UE,ploss=0|noise=-5,0,-5,160,139,False,1.983,4.5531,5.0735,5.454,5.90625,6.3451,7.45,0.83275,0.895964426074
SINR,RFsim,mgen-20260810-175146,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-30,-5,-30,160,24,False,41.9,42.6,43.1,43.275,44.9,44.9,47.9,1.8,1.43532962597
SINR,RFsim,mgen-20260810-175727,analysis_window_15_175s,OAI_UE,ploss=-10|noise=-30,-10,-30,160,22,False,37.9,39.5,39.8,39.8,42.8,42.8,42.8,3,1.57957036809
SINR,RFsim,mgen-20260810-180309,analysis_window_15_175s,OAI_UE,ploss=-15|noise=-30,-15,-30,160,25,False,30.275,30.283,30.292,30.325,33.292,33.3,33.3,3,1.44539682909
SINR,RFsim,mgen-20260810-180852,analysis_window_15_175s,OAI_UE,ploss=-20|noise=-30,-20,-30,160,34,False,23.683,25.492,25.5,25.508,28.492,28.508,28.525,2.992,1.45346173942
SINR,RFsim,mgen-20260810-181441,analysis_window_15_175s,OAI_UE,ploss=0|noise=-20,0,-20,160,52,False,35.3,35.7,36,37.2,37.5,37.9,39.164,1.5,0.858903974689
SINR,RFsim,mgen-20260810-182024,analysis_window_15_175s,OAI_UE,ploss=0|noise=-10,0,-10,160,126,False,21.75,22.8545,23.22475,23.6915,24.1415,24.6695,25.392,0.91675,0.726769046975
SINR,RFsim,mgen-20260810-182607,analysis_window_15_175s,OAI_UE,ploss=0|noise=-5,0,-5,160,140,False,8,8.5,8.723,9.1175,9.5255,9.9187,10.325,0.8025,0.523065773512
SINR,RFsim,mgen-20260810-193641,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-7,-5,-7,160,133,False,8.982,10.252,10.59775,11.2005,11.446,11.9364,12.709,0.84825,0.759377971201
SINR,RFsim,mgen-20260810-194833,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-7,-5,-7,160,143,False,8.483,9.1332,9.54875,9.9085,10.56175,11.1897,12.125,1.013,0.778656926432
SINR,UPV,filename_sensitivity,calibration,ASUS,,,,16,14,False,11.45,12.95,13.9,16.125,17.875,18.275,20.8,3.975,2.5278366904
SINR,UPV,filename_sensitivity,spatial_validation_1,ASUS,,,,11,11,False,9.9,11,12.325,14.8,16.35,18.1,18.3,4.025,2.86411972833
SINR,UPV,filename_sensitivity,spatial_validation_2,ASUS,,,,21,21,False,9.7,12.5,17.95,20.9,22.75,25.15,25.75,4.8,4.58213664031
SINR,UPV,filename_sensitivity,spatial_validation_3,ASUS,,,,16,15,False,14.6,16.8,17.9125,19.65,20.6125,21.05,21.75,2.7,1.9686474841
SINR,UPV,filename_sensitivity,spatial_validation_4,ASUS,,,,18,16,False,15.45,15.87,17.65,18.85,20.825,23.025,25,3.175,2.81299505447
SINR,UPV,primary,calibration,ASUS,,,,16,16,False,10.25,12.675,14.775,16.575,18.95,20.5,21.4,4.175,3.19365092801
SINR,UPV,primary,spatial_validation_1,ASUS,,,,15,15,False,9.4,10.89,11.65,15,17.4,18.27,20.3,5.75,3.27969220391
SINR,UPV,primary,spatial_validation_2,ASUS,,,,19,19,False,13.45,14.93,18.4,21.15,23,23.79,25,4.6,3.4717237069
SINR,UPV,primary,spatial_validation_3,ASUS,,,,17,17,False,12.4,16.27,17.1,19.8,20.9,21.32,22.25,3.8,2.54251713511
SINR,UPV,primary,spatial_validation_4,ASUS,,,,17,15,False,10,12.59,13,14.25,17.9,19.39,21.3,4.9,3.11915040752
SINR,UPV,s25_robustness,calibration,S25,,,,16,16,False,17.25,20.9,21.75,22.825,23.7125,24.325,24.75,1.9625,1.83643676722
SINR,UPV,s25_robustness,spatial_validation_1,S25,,,,11,11,False,12.45,15.1,15.475,16.35,19.1,19.55,20.4,3.625,2.42838330058
SINR,UPV,s25_robustness,spatial_validation_2,S25,,,,18,17,False,12.1,12.775,14.475,15.2,17.9625,19.14,19.95,3.4875,2.47294015426
SINR,UPV,s25_robustness,spatial_validation_3,S25,,,,17,16,False,13.45,15.09,16.3,21.05,22.65,23.69,25,6.35,3.67142933779
SINR,UPV,s25_robustness,spatial_validation_4,S25,,,,18,18,False,11.2,15.635,18.225,21.675,24.375,25.755,28,6.15,4.41383094316
relative_RSRP,RFsim,mgen-20260810-170448,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-30,-5,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-171135,analysis_window_15_175s,OAI_UE,ploss=-10|noise=-30,-10,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-171719,analysis_window_15_175s,OAI_UE,ploss=-15|noise=-30,-15,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-172302,analysis_window_15_175s,OAI_UE,ploss=-20|noise=-30,-20,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-172844,analysis_window_15_175s,OAI_UE,ploss=0|noise=-20,0,-20,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-173427,analysis_window_15_175s,OAI_UE,ploss=0|noise=-10,0,-10,160,16,False,-0.334,-0.167,-0.084,0,0.151,0.242,0.333,0.235,0.141819512811
relative_RSRP,RFsim,mgen-20260810-174009,analysis_window_15_175s,OAI_UE,ploss=0|noise=-5,0,-5,160,9,False,-0.25,-0.099,-0.027,0,0.083,0.083,0.166,0.11,0.0818642838299
relative_RSRP,RFsim,mgen-20260810-175146,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-30,-5,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-175727,analysis_window_15_175s,OAI_UE,ploss=-10|noise=-30,-10,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-180309,analysis_window_15_175s,OAI_UE,ploss=-15|noise=-30,-15,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-180852,analysis_window_15_175s,OAI_UE,ploss=-20|noise=-30,-20,-30,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-181441,analysis_window_15_175s,OAI_UE,ploss=0|noise=-20,0,-20,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-182024,analysis_window_15_175s,OAI_UE,ploss=0|noise=-10,0,-10,160,1,True,0,0,0,0,0,0,0,0,0
relative_RSRP,RFsim,mgen-20260810-182607,analysis_window_15_175s,OAI_UE,ploss=0|noise=-5,0,-5,160,4,False,-0.091,0,0,0,0,0,0.083,0,0.0166183529295
relative_RSRP,RFsim,mgen-20260810-193641,analysis_window_15_175s,OAI_UE,ploss=-5|noise=-7,-5,-7,160,11,False,-0.372,-0.167,-0.084,0,0.083,0.083,0.083,0.167,0.0916982601359
