metric,source_key,source_role,device,locked_role,candidate_id,execution_id,repetition,ploss,noise_power_dB,balanced_rows,mmd_squared,upv_p10,upv_median,upv_p90,rfsim_p10,rfsim_median,rfsim_p90
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-20|noise=-30,mgen-20260810-172302,1,-20,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-20|noise=-30,mgen-20260810-180852,2,-20,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-15|noise=-30,mgen-20260810-171719,1,-15,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-15|noise=-30,mgen-20260810-180309,2,-15,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-10|noise=-30,mgen-20260810-171135,1,-10,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-10|noise=-30,mgen-20260810-175727,2,-10,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-5|noise=-30,mgen-20260810-170448,1,-5,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-5|noise=-30,mgen-20260810-175146,2,-5,-30,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-5|noise=-7,mgen-20260810-193641,1,-5,-7,10,0.278466987528,-1.35,0,1.645,-0.2044,-0.004,0.083
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=-5|noise=-7,mgen-20260810-194833,2,-5,-7,10,0.722109372079,-1.35,0,1.645,-0.0083,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=0|noise=-20,mgen-20260810-172844,1,0,-20,10,0.825008815181,-1.35,0,1.645,0,0,0
relative_RSRP,filename_sensitivity,scenario_interpretation_sensitivity_only,ASUS,calibration,ploss=0|noise=-20,mgen-20260810-181441,2,0,-20,10,0.825008815181,-1.35,0,1.645,0,0,0
