metric,candidate_id,ploss,noise_power_dB,left_execution_id,right_execution_id,mmd_squared
relative_RSRP,ploss=-20|noise=-30,-20,-30,mgen-20260810-172302,mgen-20260810-180852,0
relative_RSRP,ploss=-15|noise=-30,-15,-30,mgen-20260810-171719,mgen-20260810-180309,0
relative_RSRP,ploss=-10|noise=-30,-10,-30,mgen-20260810-171135,mgen-20260810-175727,0
relative_RSRP,ploss=-5|noise=-30,-5,-30,mgen-20260810-170448,mgen-20260810-175146,0
relative_RSRP,ploss=-5|noise=-7,-5,-7,mgen-20260810-193641,mgen-20260810-194833,0.305668063833
relative_RSRP,ploss=0|noise=-20,0,-20,mgen-20260810-172844,mgen-20260810-181441,0
relative_RSRP,ploss=0|noise=-10,0,-10,mgen-20260810-173427,mgen-20260810-182024,0.405341711013
relative_RSRP,ploss=0|noise=-5,0,-5,mgen-20260810-174009,mgen-20260810-182607,0.295756359964
SINR,ploss=-20|noise=-30,-20,-30,mgen-20260810-172302,mgen-20260810-180852,0.188437313037
SINR,ploss=-15|noise=-30,-15,-30,mgen-20260810-171719,mgen-20260810-180309,0.00771991770036
SINR,ploss=-10|noise=-30,-10,-30,mgen-20260810-171135,mgen-20260810-175727,0.0143124613543
SINR,ploss=-5|noise=-30,-5,-30,mgen-20260810-170448,mgen-20260810-175146,0.0193832136749
SINR,ploss=-5|noise=-7,-5,-7,mgen-20260810-193641,mgen-20260810-194833,0.00955956367812
SINR,ploss=0|noise=-20,0,-20,mgen-20260810-172844,mgen-20260810-181441,0.262944434483
SINR,ploss=0|noise=-10,0,-10,mgen-20260810-173427,mgen-20260810-182024,0.300010595614
SINR,ploss=0|noise=-5,0,-5,mgen-20260810-174009,mgen-20260810-182607,0.137309455221
