assertion_id,snippet_id,oai_revision,relative_path,file_sha256,fact,snippet,occurrence_count,first_line,line_text,verified
1,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,The configured channel realization is generated when the RFsim connection is created.,"random_channel(ptr->channel_model, false);",1,365,"random_channel(ptr->channel_model, false);",True
1,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,The configured channel realization is generated when the RFsim connection is created.,Random channel %s in rfsimulator activated,1,366,"LOG_I(HW, ""Random channel %s in rfsimulator activated\n"", modelname);",True
2,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,The receive-loop regeneration switch is disabled in the pinned execution path.,bool reGenerateChannel = false;,1,1295,bool reGenerateChannel = false;,True
2,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,The receive-loop regeneration switch is disabled in the pinned execution path.,if (reGenerateChannel),1,1299,if (reGenerateChannel),True
2,3,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/simulator.cpp,8d78932b06903344d4a137bdafb5729173b40a98330116d1609a0abca0315c3a,The receive-loop regeneration switch is disabled in the pinned execution path.,"random_channel(ptr->channel_model, 0);",1,1300,"random_channel(ptr->channel_model, 0);",True
3,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,Runtime channel evolution is conditional on the satellite model in the pinned code.,if ((channelDesc->sat_height > 0),1,13,if ((channelDesc->sat_height > 0),True
3,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,Runtime channel evolution is conditional on the satellite model in the pinned code.,enable_dynamic_Doppler,3,15,|| channelDesc->enable_dynamic_Doppler)) { // model for transparent satellite on circular orbit,True
4,1,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,RFsim ploss is applied as a constant signed path-gain amplitude multiplier.,channelDesc->path_loss_dB should contain the total path gain,1,218,// channelDesc->path_loss_dB should contain the total path gain,True
4,2,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,RFsim ploss is applied as a constant signed path-gain amplitude multiplier.,"pow(10, channelDesc->path_loss_dB / 20.0)",1,222,"const double pathLossLinear = pow(10, channelDesc->path_loss_dB / 20.0);",True
4,3,70508ebaf52f2aae420566d380c6537f2efb9f0c,radio/rfsimulator/apply_channelmod.c,d87fb051292bdb7da91cac2358110f6d0df8a06652cf106c71a2ad5d31fdf6f8,RFsim ploss is applied as a constant signed path-gain amplitude multiplier.,"pow(10, channelDesc->noise_power_dB / 10.0) * 256",1,225,"const double noise_per_sample = pow(10, channelDesc->noise_power_dB / 10.0) * 256;",True
