execution_index,execution_id,stage,stage_position,repetition,oai_rng_seed,commanded_gain_db,commanded_noise_power_db,rsrp_db_per_re_unquantized,ss_sinr_db
1,e01-gain_safety-r1-p1-gm8-nm60,gain_safety,1,1,44001,-8,-60,43.246224,40.099998
2,e02-gain_safety-r1-p2-gm12-nm60,gain_safety,2,1,44002,-12,-60,39.233543,36.099998
3,e03-gain_safety-r1-p3-gm16-nm60,gain_safety,3,1,44003,-16,-60,35.238936,34.499998
4,e04-gain_safety-r1-p4-gm18-nm60,gain_safety,4,1,44004,-18,-60,33.225203,33.099998
5,e05-noise_safety-r1-p1-gp0-nm18,noise_safety,1,1,44005,0,-18,51.319405,18.146667
6,e06-noise_safety-r1-p2-gp0-nm17,noise_safety,2,1,44006,0,-17,51.341385,17.293333
7,e07-factorial-r1-p1-gm8-nm25,factorial,1,1,44007,-8,-25,43.320736,17.173333
8,e08-factorial-r1-p2-gm12-nm22,factorial,2,1,44008,-12,-22,39.638347,10.373333
9,e09-factorial-r1-p3-gm10-nm22,factorial,3,1,44009,-10,-22,41.519411,12.32
10,e10-factorial-r1-p4-gm12-nm25,factorial,4,1,44010,-12,-25,39.456131,13.792857
11,e11-factorial-r1-p5-gm8-nm22,factorial,5,1,44011,-8,-22,43.404555,14.206667
12,e12-factorial-r1-p6-gm12-nm28,factorial,6,1,44012,-12,-28,39.34962,15.942857
13,e13-factorial-r1-p7-gm10-nm25,factorial,7,1,44013,-10,-25,41.379438,15.42
14,e14-factorial-r1-p8-gm10-nm28,factorial,8,1,44014,-10,-28,41.314181,18.035714
15,e15-factorial-r1-p9-gm8-nm28,factorial,9,1,44015,-8,-28,43.283503,20.086667
16,e16-factorial-r2-p1-gm10-nm25,factorial,1,2,44016,-10,-25,41.385489,15.5
17,e17-factorial-r2-p2-gm10-nm22,factorial,2,2,44017,-10,-22,41.518328,11.706667
18,e18-factorial-r2-p3-gm8-nm25,factorial,3,2,44018,-8,-25,43.334876,17.307143
19,e19-factorial-r2-p4-gm8-nm28,factorial,4,2,44019,-8,-28,43.294482,20.366666
20,e20-factorial-r2-p5-gm12-nm25,factorial,5,2,44020,-12,-25,39.442516,12.946667
21,e21-factorial-r2-p6-gm12-nm28,factorial,6,2,44021,-12,-28,39.332492,16.257143
22,e22-factorial-r2-p7-gm12-nm22,factorial,7,2,44022,-12,-22,39.646187,9.621429
23,e23-factorial-r2-p8-gm10-nm28,factorial,8,2,44023,-10,-28,41.310258,17.992857
24,e24-factorial-r2-p9-gm8-nm22,factorial,9,2,44024,-8,-22,43.418486,14.978571
25,e25-factorial-r3-p1-gm12-nm28,factorial,1,3,44025,-12,-28,39.324186,16.185714
26,e26-factorial-r3-p2-gm10-nm28,factorial,2,3,44026,-10,-28,41.317124,18.471428
27,e27-factorial-r3-p3-gm10-nm22,factorial,3,3,44027,-10,-22,41.50443,11.826667
28,e28-factorial-r3-p4-gm8-nm25,factorial,4,3,44028,-8,-25,43.326133,17.406667
29,e29-factorial-r3-p5-gm10-nm25,factorial,5,3,44029,-10,-25,41.381843,15.457143
30,e30-factorial-r3-p6-gm12-nm22,factorial,6,3,44030,-12,-22,39.635146,10.4
31,e31-factorial-r3-p7-gm8-nm22,factorial,7,3,44031,-8,-22,43.414978,14.346667
32,e32-factorial-r3-p8-gm8-nm28,factorial,8,3,44032,-8,-28,43.291379,20.385714
33,e33-factorial-r3-p9-gm12-nm25,factorial,9,3,44033,-12,-25,39.449014,13.264286
34,e34-boundary-r1-p1-gm16-nm30,boundary,1,1,44034,-16,-30,35.378949,14.392857
35,e35-boundary-r1-p2-gp0-nm17,boundary,2,1,44035,0,-17,51.339024,16.946666
36,e36-boundary-r1-p3-gm18-nm35,boundary,3,1,44036,-18,-35,33.319972,17.264285
37,e37-boundary-r1-p4-gm4-nm23,boundary,4,1,44037,-4,-23,47.305801,19.206667
38,e38-boundary-r2-p1-gm18-nm35,boundary,1,2,44038,-18,-35,33.32391,17.671429
39,e39-boundary-r2-p2-gm4-nm23,boundary,2,2,44039,-4,-23,47.31863,18.878572
40,e40-boundary-r2-p3-gm16-nm30,boundary,3,2,44040,-16,-30,35.399639,14.693333
41,e41-boundary-r2-p4-gp0-nm17,boundary,4,2,44041,0,-17,51.339958,17.457143
42,e42-boundary-r3-p1-gm16-nm30,boundary,1,3,44042,-16,-30,35.389117,14.078572
43,e43-boundary-r3-p2-gm4-nm23,boundary,2,3,44043,-4,-23,47.307425,19.107143
44,e44-boundary-r3-p3-gm18-nm35,boundary,3,3,44044,-18,-35,33.331893,17.221429
45,e45-boundary-r3-p4-gp0-nm17,boundary,4,3,44045,0,-17,51.36141,17.12
