execution_index,execution_id,stage,stage_position,repetition,oai_rng_seed,commanded_gain_db,commanded_noise_power_db,rsrp_db_per_re_unquantized,ss_sinr_db,predicted_rsrp_db_per_re_unquantized,predicted_ss_sinr_db,relative_rsrp_db
7,e07-factorial-r1-p1-gm8-nm25,factorial,1,1,44007,-8,-25,43.320736,17.173333,43.3413519444,17.3327248333,1.91357788889
8,e08-factorial-r1-p2-gm12-nm22,factorial,2,1,44008,-12,-22,39.638347,10.373333,39.6229494722,10.1150530556,-1.76881111111
9,e09-factorial-r1-p3-gm10-nm22,factorial,3,1,44009,-10,-22,41.519411,12.32,41.5117493889,12.2539155,0.112252888889
10,e10-factorial-r1-p4-gm12-nm25,factorial,4,1,44010,-12,-25,39.456131,13.792857,39.4729642778,13.1689682778,-1.95102711111
11,e11-factorial-r1-p5-gm8-nm22,factorial,5,1,44011,-8,-22,43.404555,14.206667,43.4005493056,14.3927779444,1.99739688889
12,e12-factorial-r1-p6-gm12-nm28,factorial,6,1,44012,-12,-28,39.34962,15.942857,39.3229790833,16.2228835,-2.05753811111
13,e13-factorial-r1-p7-gm10-nm25,factorial,7,1,44013,-10,-25,41.379438,15.42,41.4071581111,15.2508465556,-0.0277201111111
14,e14-factorial-r1-p8-gm10-nm28,factorial,8,1,44014,-10,-28,41.314181,18.035714,41.3025668333,18.2477776111,-0.0929771111111
15,e15-factorial-r1-p9-gm8-nm28,factorial,9,1,44015,-8,-28,43.283503,20.086667,43.2821545833,20.2726717222,1.87634488889
16,e16-factorial-r2-p1-gm10-nm25,factorial,1,2,44016,-10,-25,41.385489,15.5,41.4071581111,15.2508465556,-0.0216691111111
17,e17-factorial-r2-p2-gm10-nm22,factorial,2,2,44017,-10,-22,41.518328,11.706667,41.5117493889,12.2539155,0.111169888889
18,e18-factorial-r2-p3-gm8-nm25,factorial,3,2,44018,-8,-25,43.334876,17.307143,43.3413519444,17.3327248333,1.92771788889
19,e19-factorial-r2-p4-gm8-nm28,factorial,4,2,44019,-8,-28,43.294482,20.366666,43.2821545833,20.2726717222,1.88732388889
20,e20-factorial-r2-p5-gm12-nm25,factorial,5,2,44020,-12,-25,39.442516,12.946667,39.4729642778,13.1689682778,-1.96464211111
21,e21-factorial-r2-p6-gm12-nm28,factorial,6,2,44021,-12,-28,39.332492,16.257143,39.3229790833,16.2228835,-2.07466611111
22,e22-factorial-r2-p7-gm12-nm22,factorial,7,2,44022,-12,-22,39.646187,9.621429,39.6229494722,10.1150530556,-1.76097111111
23,e23-factorial-r2-p8-gm10-nm28,factorial,8,2,44023,-10,-28,41.310258,17.992857,41.3025668333,18.2477776111,-0.0969001111111
24,e24-factorial-r2-p9-gm8-nm22,factorial,9,2,44024,-8,-22,43.418486,14.978571,43.4005493056,14.3927779444,2.01132788889
25,e25-factorial-r3-p1-gm12-nm28,factorial,1,3,44025,-12,-28,39.324186,16.185714,39.3229790833,16.2228835,-2.08297211111
26,e26-factorial-r3-p2-gm10-nm28,factorial,2,3,44026,-10,-28,41.317124,18.471428,41.3025668333,18.2477776111,-0.0900341111111
27,e27-factorial-r3-p3-gm10-nm22,factorial,3,3,44027,-10,-22,41.50443,11.826667,41.5117493889,12.2539155,0.0972718888889
28,e28-factorial-r3-p4-gm8-nm25,factorial,4,3,44028,-8,-25,43.326133,17.406667,43.3413519444,17.3327248333,1.91897488889
29,e29-factorial-r3-p5-gm10-nm25,factorial,5,3,44029,-10,-25,41.381843,15.457143,41.4071581111,15.2508465556,-0.0253151111111
30,e30-factorial-r3-p6-gm12-nm22,factorial,6,3,44030,-12,-22,39.635146,10.4,39.6229494722,10.1150530556,-1.77201211111
31,e31-factorial-r3-p7-gm8-nm22,factorial,7,3,44031,-8,-22,43.414978,14.346667,43.4005493056,14.3927779444,2.00781988889
32,e32-factorial-r3-p8-gm8-nm28,factorial,8,3,44032,-8,-28,43.291379,20.385714,43.2821545833,20.2726717222,1.88422088889
33,e33-factorial-r3-p9-gm12-nm25,factorial,9,3,44033,-12,-25,39.449014,13.264286,39.4729642778,13.1689682778,-1.95814411111
