sequence_index,repetition,oai_rng_seed,segment_index,segment_type,state_id,position,gain_db,noise_power_db,expected_relative_rsrp_db,expected_sinr_db
1,1,45001,1,anchor_start,anchor,0,-10,-25,0,15.2403972
1,1,45001,2,validation,A,1,-14,-34,-4.18560664297,20.3481586687
1,1,45001,3,validation,B,2,-2,-28,7.66343635115,26.2075428966
1,1,45001,4,validation,C,3,0,-21,9.8191794148,21.1834065162
1,1,45001,5,validation,D,4,-6,-18,4.10375489037,12.1849188972
1,1,45001,6,validation,E,5,-10,-20,0.165740543555,10.2036135432
1,1,45001,7,validation,F,6,-14,-23,-3.81028301681,9.24140545259
1,1,45001,8,validation,G,7,-18,-27,-7.82723245303,9.30533894554
1,1,45001,9,anchor_end,anchor,8,-10,-25,0,15.2403972
2,2,45002,1,anchor_start,anchor,0,-10,-25,0,15.2403972
2,2,45002,2,validation,C,1,0,-21,9.8191794148,21.1834065162
2,2,45002,3,validation,D,2,-6,-18,4.10375489037,12.1849188972
2,2,45002,4,validation,E,3,-10,-20,0.165740543555,10.2036135432
2,2,45002,5,validation,F,4,-14,-23,-3.81028301681,9.24140545259
2,2,45002,6,validation,G,5,-18,-27,-7.82723245303,9.30533894554
2,2,45002,7,validation,A,6,-14,-34,-4.18560664297,20.3481586687
2,2,45002,8,validation,B,7,-2,-28,7.66343635115,26.2075428966
2,2,45002,9,anchor_end,anchor,8,-10,-25,0,15.2403972
3,3,45003,1,anchor_start,anchor,0,-10,-25,0,15.2403972
3,3,45003,2,validation,E,1,-10,-20,0.165740543555,10.2036135432
3,3,45003,3,validation,F,2,-14,-23,-3.81028301681,9.24140545259
3,3,45003,4,validation,G,3,-18,-27,-7.82723245303,9.30533894554
3,3,45003,5,validation,A,4,-14,-34,-4.18560664297,20.3481586687
3,3,45003,6,validation,B,5,-2,-28,7.66343635115,26.2075428966
3,3,45003,7,validation,C,6,0,-21,9.8191794148,21.1834065162
3,3,45003,8,validation,D,7,-6,-18,4.10375489037,12.1849188972
3,3,45003,9,anchor_end,anchor,8,-10,-25,0,15.2403972
