command_index,trace_row_index_protocol,trace_time_bin_protocol,trace_t_s_protocol,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped_protocol,clipping_distance_scaled_protocol,triangle_index_protocol,vertex_0_protocol,vertex_1_protocol,vertex_2_protocol,barycentric_0_protocol,barycentric_1_protocol,barycentric_2_protocol,barycentric_0_observed,barycentric_1_observed,barycentric_2_observed,clipped_observed,clipping_distance_scaled_observed,command_complete_epoch,command_completion_lateness_seconds,gain_result,noise_result,sample_utc_second,scheduled_epoch,trace_row_index_observed,trace_t_s_observed,trace_time_bin_observed,triangle_index_observed,vertex_0_observed,vertex_1_observed,vertex_2_observed,channel_verification_utc_second,channel_verification_emitted_epoch_us,ue_measurement_emitted_epoch_us,applied_gain_db,applied_noise_power_db,channel_family,channel_model_name,channel_snapshot_id,channel_snapshot_timestamp_ns,tap_energy_linear,tap_fingerprint_fnv1a64,channel_length,nb_taps,nb_tx,nb_rx,rsrp_digital_power_linear,rsrp_db_per_re_unquantized,ss_rsrp_dbm_integer,ss_sinr_db,attached,observed_relative_rsrp_db,relative_rsrp_error_db,sinr_error_db
0,154,154,154,1.4,12.05,1.4,12.05,-8.772537277,-20.398204294,False,0,25,16,17,10,0.52447837678,0.138209738062,0.337311885157,0.52447837678,0.138209738062,0.337311885157,False,0,1788219255.15,0.147283792496,"{'applied_epoch': 1788219255.147275, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -8.772537, 'parameter': 'ploss', 'requested': -8.772537277, 'verified': True}","{'applied_epoch': 1788219255.147275, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -20.398205, 'parameter': 'noise_power_dB', 'requested': -20.398204294, 'verified': True}",1788219255,1788219255,154,154,154,25,16,17,10,1788219256,1788219256001043,1788219256055797,-8.772537277,-20.398204803,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,18709,42.704922,-105,17.48,True,1.32902975,-0.07097025,5.43
1,155,155,155,0.05,10.55,0.05,10.55,-10.197398241,-20.542083494,False,0,17,16,7,4,0.72895825296,0.17234262632,0.0986991207203,0.72895825296,0.17234262632,0.0986991207203,False,0,1788219256.1,0.0992827415466,"{'applied_epoch': 1788219256.0992746, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -10.197398, 'parameter': 'ploss', 'requested': -10.197398241, 'verified': True}","{'applied_epoch': 1788219256.0992746, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -20.542084, 'parameter': 'noise_power_dB', 'requested': -20.542083494, 'verified': True}",1788219256,1788219256,155,155,155,17,16,7,4,1788219257,1788219257000009,1788219257018808,-10.197398241,-20.54208374,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,14003.0714286,41.4603,-106,15.978572,True,0.08440775,0.03440775,5.428572
2,156,156,156,1,11.5,1,11.5,-9.203651606,-20.33203405,False,0,25,16,17,10,0.679211526862,0.0773857241013,0.243402749036,0.679211526862,0.0773857241013,0.243402749036,False,0,1788219257.15,0.150968790054,"{'applied_epoch': 1788219257.1509619, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -9.203652, 'parameter': 'ploss', 'requested': -9.203651606, 'verified': True}","{'applied_epoch': 1788219257.1509619, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -20.332033, 'parameter': 'noise_power_dB', 'requested': -20.33203405, 'verified': True}",1788219257,1788219257,156,156,156,25,16,17,10,1788219258,1788219258000416,1788219258056045,-9.203651606,-20.332033157,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,17095.5333333,42.319556,-106,13.893333,True,0.94366375,-0.05633625,2.393333
3,157,157,157,1.95,18.45,1.95,18.45,-7.980528038,-26.14209646,False,0,11,11,8,9,0.00486799053185,0.383944147165,0.611187862304,0.00486799053185,0.383944147165,0.611187862304,False,0,1788219258.1,0.0989081859589,"{'applied_epoch': 1788219258.0989027, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -7.980528, 'parameter': 'ploss', 'requested': -7.980528038, 'verified': True}","{'applied_epoch': 1788219258.0989027, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -26.142096, 'parameter': 'noise_power_dB', 'requested': -26.14209646, 'verified': True}",1788219258,1788219258,157,157,157,11,11,8,9,1788219259,1788219259000734,1788219259023019,-7.980528038,-26.142095566,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,21707.2142857,43.365484,-104,14.971429,True,1.98959175,0.03959175,-3.478571
4,158,158,158,3.35,18.05,3.35,18.05,-6.587489652,-24.42425251,False,0,11,11,8,9,0.353127586962,0.0435025614299,0.603369851608,0.353127586962,0.0435025614299,0.603369851608,False,0,1788219259.16,0.155008077621,"{'applied_epoch': 1788219259.1550024, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -6.58749, 'parameter': 'ploss', 'requested': -6.587489652, 'verified': True}","{'applied_epoch': 1788219259.1550024, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -24.424252, 'parameter': 'noise_power_dB', 'requested': -24.42425251, 'verified': True}",1788219259,1788219259,158,158,158,11,11,8,9,1788219260,1788219260000467,1788219260056981,-6.587489652,-24.424251556,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,29300.7333333,44.655336,-103,16.293333,True,3.27944375,-0.07055625,-1.756667
5,159,159,159,2.8,18.35,2.8,18.35,-7.132963817,-25.241052969,False,0,11,11,8,9,0.216759045733,0.224857020023,0.558383934244,0.216759045733,0.224857020023,0.558383934244,False,0,1788219260.1,0.103271484375,"{'applied_epoch': 1788219260.1032627, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -7.132964, 'parameter': 'ploss', 'requested': -7.132963817, 'verified': True}","{'applied_epoch': 1788219260.1032627, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.241053, 'parameter': 'noise_power_dB', 'requested': -25.241052969, 'verified': True}",1788219260,1788219260,159,159,159,11,11,8,9,1788219261,1788219261000796,1788219261025017,-7.132963817,-25.241052628,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,26145.1428571,44.173252,-104,16.457143,True,2.79735975,-0.00264025000001,-1.892857
6,160,160,160,3.15,21.3,3.15,21.3,-6.757007857,-27.784478602,False,0,3,8,11,18,0.778466549684,0.0431042796675,0.178429170648,0.778466549684,0.0431042796675,0.178429170648,False,0,1788219261.15,0.150847196579,"{'applied_epoch': 1788219261.1508427, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -6.757008, 'parameter': 'ploss', 'requested': -6.757007857, 'verified': True}","{'applied_epoch': 1788219261.1508427, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -27.784479, 'parameter': 'noise_power_dB', 'requested': -27.784478602, 'verified': True}",1788219261,1788219261,160,160,160,3,8,11,18,1788219262,1788219262000825,1788219262064808,-6.757007857,-27.784479141,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,28199.2666667,44.500959,-103,17.186667,True,3.12506675,-0.02493325,-4.113333
7,161,161,161,5.35,20.7,5.35,20.7,-4.568080814,-25.110720248,False,0,3,8,11,18,0.23539481881,0.577855950393,0.186749230797,0.23539481881,0.577855950393,0.186749230797,False,0,1788219262.09,0.0911338329315,"{'applied_epoch': 1788219262.0911274, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -4.568081, 'parameter': 'ploss', 'requested': -4.568080814, 'verified': True}","{'applied_epoch': 1788219262.0911274, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.11072, 'parameter': 'noise_power_dB', 'requested': -25.110720248, 'verified': True}",1788219262,1788219262,161,161,161,3,8,11,18,1788219263,1788219263001470,1788219263036048,-4.568080814,-25.110719681,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,46961.8571429,46.717134,-101,19.414285,True,5.34124175,-0.00875825,-1.285715
8,162,162,162,4.7,20.85,4.7,20.85,-5.214945244,-25.874719156,False,0,3,8,11,18,0.394138817723,0.425056168811,0.180805013465,0.394138817723,0.425056168811,0.180805013465,False,0,1788219263.15,0.150964260101,"{'applied_epoch': 1788219263.15096, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -5.214945, 'parameter': 'ploss', 'requested': -5.214945244, 'verified': True}","{'applied_epoch': 1788219263.15096, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.87472, 'parameter': 'noise_power_dB', 'requested': -25.874719156, 'verified': True}",1788219263,1788219263,162,162,162,3,8,11,18,1788219264,1788219264001580,1788219264008368,-5.214945244,-25.87471962,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,41021.1428571,46.12649,-102,18.964285,True,4.75059775,0.05059775,-1.885715
9,163,163,163,3.45,19.25,3.45,19.25,-6.47258504,-25.522174823,False,0,11,11,8,9,0.38185374008,0.428627434547,0.189518825373,0.38185374008,0.428627434547,0.189518825373,False,0,1788219264.1,0.103272676468,"{'applied_epoch': 1788219264.1032643, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -6.472585, 'parameter': 'ploss', 'requested': -6.47258504, 'verified': True}","{'applied_epoch': 1788219264.1032643, 'model_index': 0, 'model_name': 'rfsimu_channel_enB0', 'model_type': 'AWGN', 'observed': -25.522175, 'parameter': 'noise_power_dB', 'requested': -25.522174823, 'verified': True}",1788219264,1788219264,163,163,163,11,11,8,9,1788219265,1788219265001056,1788219265047474,-6.47258504,-25.522174835,AWGN,rfsimu_channel_enB0,static-0,1788219222360182737,1,14bd144574d32d9e,1,1,1,1,31008.1333333,44.90291,-103,18.693334,True,3.52701775,0.07701775,-0.556666
