trace_row_index,session_id,sequence_id,time_bin,t_s,route_fraction,rsrp_dbm,relative_rsrp_db,sinr_db,serving_pci,provisional_gain_db,provisional_noise_power_db
154,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,154,154,0.478858390135,-85.2,1.4,12.05,41,-8.58726278912,-20.4173265478
155,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,155,155,0.482278612012,-86.55,0.05,10.55,41,-9.93526334323,-20.2607013445
156,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,156,156,0.485950046623,-85.6,1,11.5,41,-8.98667036071,-20.2621511814
157,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,157,157,0.489836861029,-84.65,1.95,18.45,41,-8.03807737819,-26.4461973714
158,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,158,158,0.493723675612,-83.25,3.35,18.05,41,-6.64015087764,-24.5935550672
159,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,159,159,0.49745858433,-83.8,2.8,18.35,41,-7.18933628857,-25.4685835046
160,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,160,160,0.501150916346,-83.45,3.15,21.3,41,-6.83985466343,-28.1482427414
161,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,161,161,0.504743941796,-81.25,5.35,20.7,41,-4.6431130197,-25.2663886269
162,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,162,162,0.50837954419,-81.9,4.7,20.85,41,-5.29215032353,-26.0897428137
163,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,163,163,0.513905954961,-83.15,3.45,19.25,41,-6.54029898474,-25.7271836797
164,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,164,164,0.517488958307,-88,-1.4,17.15,41,-11.3831157902,-28.5534718762
165,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,165,165,0.521375773996,-88.2,-1.6,15.95,41,-11.582819576,-27.5227339218
166,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,166,166,0.525177436301,-87.3,-0.7,14.8,41,-10.68415254,-25.4117203642
167,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,167,167,0.529064252165,-88.1,-1.5,12,41,-11.4829676831,-23.3496339978
168,corrected_test_1_ASUS,corrected_test_1_ASUS:segment-0,168,168,0.532768779418,-89.8,-3.2,14.5,41,-13.1804498624,-27.6748570002
