command_index,trace_row_index,trace_time_bin,trace_t_s,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped,clipping_distance_scaled,triangle_index,vertex_0,vertex_1,vertex_2,barycentric_0,barycentric_1,barycentric_2
0,154,154,154,1.4,12.05,1.4,12.05,-8.772537277,-20.398204294,False,0,25,16,17,10,0.52447837678,0.138209738062,0.337311885157
1,155,155,155,0.05,10.55,0.05,10.55,-10.197398241,-20.542083494,False,0,17,16,7,4,0.72895825296,0.17234262632,0.0986991207203
2,156,156,156,1,11.5,1,11.5,-9.203651606,-20.33203405,False,0,25,16,17,10,0.679211526862,0.0773857241013,0.243402749036
3,157,157,157,1.95,18.45,1.95,18.45,-7.980528038,-26.14209646,False,0,11,11,8,9,0.00486799053185,0.383944147165,0.611187862304
4,158,158,158,3.35,18.05,3.35,18.05,-6.587489652,-24.42425251,False,0,11,11,8,9,0.353127586962,0.0435025614299,0.603369851608
5,159,159,159,2.8,18.35,2.8,18.35,-7.132963817,-25.241052969,False,0,11,11,8,9,0.216759045733,0.224857020023,0.558383934244
6,160,160,160,3.15,21.3,3.15,21.3,-6.757007857,-27.784478602,False,0,3,8,11,18,0.778466549684,0.0431042796675,0.178429170648
7,161,161,161,5.35,20.7,5.35,20.7,-4.568080814,-25.110720248,False,0,3,8,11,18,0.23539481881,0.577855950393,0.186749230797
8,162,162,162,4.7,20.85,4.7,20.85,-5.214945244,-25.874719156,False,0,3,8,11,18,0.394138817723,0.425056168811,0.180805013465
9,163,163,163,3.45,19.25,3.45,19.25,-6.47258504,-25.522174823,False,0,11,11,8,9,0.38185374008,0.428627434547,0.189518825373
10,164,164,164,-1.4,17.15,-1.4,17.15,-11.34183693,-28.345924735,False,0,21,2,5,14,0.555610219955,0.386735657596,0.0576541224496
11,165,165,165,-1.6,15.95,-1.6,15.95,-11.56470503,-27.31178385,False,0,20,2,3,6,0.770594616727,0.0117578980909,0.217647485183
12,166,166,166,-0.7,14.8,-0.7,14.8,-10.719801969,-25.113324784,False,0,20,2,3,6,0.0377749279963,0.322126056319,0.640099015684
13,167,167,167,-1.5,12,-1.5,12,-11.643286343,-23.446032243,False,0,18,4,7,3,0.339632423964,0.178356828416,0.48201074762
14,168,168,168,-3.2,14.5,-3.2,14.5,-13.214318138,-27.425778386,False,0,23,1,3,2,0.303579534434,0.393793560811,0.302626904755
15,169,169,169,-1.85,13.6,-1.85,13.6,-11.907063841,-25.178968928,False,0,20,2,3,6,0.0596563092304,0.893875611503,0.0464680792666
16,170,170,170,-0.1,15.7,-0.1,15.7,-10.092529075,-25.371445057,False,0,19,6,5,2,0.876184981125,0.0775504811637,0.0462645377117
17,171,171,171,0,17.4,0,17.4,-9.950753917,-27.100437595,False,0,13,9,5,6,0.0246230416618,0.700145865007,0.275231093332
18,172,172,172,2.9,16.85,2.9,16.85,-7.072849413,-23.58592786,False,0,12,9,17,11,0.689004282677,0.158416141121,0.152579576202
19,173,173,173,4.1,15.9,4.1,15.9,-5.922131897,-21.390061023,False,0,12,9,17,11,0.266282563839,0.428500820961,0.3052166152
20,174,174,174,4.95,17.6,4.95,17.6,-5.020153205,-22.384609118,False,0,12,9,17,11,0.161249344236,0.187577914188,0.651172741575
21,175,175,175,5.1,18.9,5.1,18.9,-4.829267521,-23.618216239,False,0,11,11,8,9,0.792683119636,0.0678608259276,0.139456054436
22,176,176,176,5.55,19.6,5.55,19.6,-4.374300226,-23.871937181,False,0,3,8,11,18,0.120512516349,0.825612563871,0.0538749197802
23,177,177,177,3.85,19.4,3.85,19.4,-6.071260879,-25.293938672,False,0,11,11,8,9,0.482184780193,0.419436077388,0.0983791424192
24,178,178,178,3.8,20.9,3.8,20.9,-6.111389961,-26.782374142,False,0,3,8,11,18,0.604056603027,0.24352517163,0.152418225342
25,179,179,179,5.3,22.2,5.3,22.2,-4.610417943,-26.587133219,False,0,3,8,11,18,0.340878538367,0.282573356157,0.376548105476
26,180,180,180,3.65,19.05,3.65,19.05,-6.275370471,-25.134835353,False,0,11,11,8,9,0.431157382201,0.332383372387,0.236459245411
27,181,181,181,1.5,13.1,1.5,13.1,-8.611465924,-21.272110348,False,0,25,16,17,10,0.325136916756,0.019403954593,0.655459128651
28,182,182,182,-1.2,16.35,-1.2,16.35,-11.160142093,-27.297065231,False,0,19,6,5,2,0.234311589778,0.185617363959,0.580071046264
29,183,183,183,-2.9,13.75,-2.9,13.75,-12.946008071,-26.360972574,False,0,23,1,3,2,0.236502017756,0.704010487044,0.0594874952005
30,184,184,184,-3.1,12.4,-3.1,12.4,-13.233779728,-25.386743675,False,0,9,3,1,15,0.56316829167,0.180058155898,0.256773552432
31,185,185,185,0.7,17.35,0.7,17.35,-9.248996423,-26.331000628,False,0,13,9,5,6,0.375501788544,0.443666875927,0.180831335529
32,186,186,186,2.55,17.45,2.55,17.45,-7.396651384,-24.573397655,False,0,12,9,17,11,0.838752176169,0.0208213395064,0.140426484324
33,187,187,187,-2.55,11.75,-2.55,11.75,-12.726363189,-24.278812509,False,0,9,3,1,15,0.637393482949,0.000575077565857,0.362031439485
34,188,188,188,-2.1,15.65,-2.1,15.65,-12.072357525,-27.556119503,False,0,23,1,3,2,0.0180893813118,0.160019753085,0.821890865603
35,189,189,189,-1.6,16.8,-1.6,16.8,-11.545755283,-28.205675131,False,0,21,2,5,14,0.704319264875,0.261401546697,0.0342791884281
36,190,190,190,-2.25,15,-2.25,15,-12.248079472,-27.028139122,False,0,23,1,3,2,0.0620198678819,0.365300204672,0.572679927446
37,191,191,191,-0.55,17.8,-0.55,17.8,-10.485288459,-28.126114077,False,0,21,2,5,14,0.200606203958,0.778374783236,0.0210190128059
38,192,192,192,-0.75,16.4,-0.75,16.4,-10.715528123,-26.850455714,False,0,19,6,5,2,0.383181428592,0.259054510087,0.357764061321
39,193,193,193,0.95,19.75,0.95,19.75,-8.962978067,-28.469467023,False,0,5,5,8,14,0.246755521971,0.674999974141,0.0782445038878
40,194,194,194,0.95,19.45,0.95,19.45,-8.966750678,-28.184526332,False,0,5,5,8,14,0.391112172868,0.578133438434,0.0307543886979
41,195,195,195,2.4,19.6,2.4,19.6,-7.516737009,-26.860234403,False,0,11,11,8,9,0.120815747837,0.700621966317,0.178562285846
42,196,196,196,1.2,18.5,1.2,18.5,-8.728976517,-26.985063368,False,0,14,8,5,9,0.297199530543,0.364488258724,0.338312210733
43,197,197,197,1.35,22.25,1.35,22.25,-8.552175192,-30.563713132,False,0,2,18,14,8,0.335256323267,0.427285521926,0.237458154807
44,198,198,198,1.85,20.35,1.85,20.35,-8.057299202,-28.129761847,False,0,2,18,14,8,0.0120771076154,0.0216269745419,0.966295917843
45,199,199,199,1.35,21.8,1.35,21.8,-8.553259826,-30.107663592,False,0,2,18,14,8,0.259067294459,0.351277265401,0.389655440141
46,200,200,200,0.45,20.3,0.45,20.3,-9.45589527,-29.502634276,False,0,2,18,14,8,0.00778983432813,0.250439046013,0.741771119659
