support_index,source,source_state,commanded_gain_db,commanded_noise_power_db,observed_relative_rsrp_db,observed_sinr_db,execution_units,scaled_relative_rsrp,scaled_sinr
0,phase3g_execution_mean,g-18_n-35,-18,-35,-8.05699833333,17.3857143333,3,-8.05699833333,8.69285716667
1,phase3g_execution_mean,g-16_n-30,-16,-30,-5.99302166667,14.388254,3,-5.99302166667,7.194127
2,phase3g_execution_mean,g-12_n-28,-12,-28,-2.046824,16.1285713333,3,-2.046824,8.06428566667
3,phase3g_execution_mean,g-12_n-25,-12,-25,-1.93303633333,13.3346033333,3,-1.93303633333,6.66730166667
4,phase3g_execution_mean,g-12_n-22,-12,-22,-1.74236333333,10.1315873333,3,-1.74236333333,5.06579366667
5,phase3g_execution_mean,g-10_n-28,-10,-28,-0.0684023333333,18.1666663333,3,-0.0684023333333,9.08333316667
6,phase3g_execution_mean,g-10_n-25,-10,-25,0,15.4590476667,3,0,7.72952383333
7,phase3g_execution_mean,g-10_n-22,-10,-22,0.131799666667,11.9511113333,3,0.131799666667,5.97555566667
8,phase3g_execution_mean,g-8_n-28,-8,-28,1.90753133333,20.2796823333,3,1.90753133333,10.1398411667
9,phase3g_execution_mean,g-8_n-25,-8,-25,1.94499166667,17.2957143333,3,1.94499166667,8.64785716667
10,phase3g_execution_mean,g-8_n-22,-8,-22,2.03041633333,14.510635,3,2.03041633333,7.2553175
11,phase3g_execution_mean,g-4_n-23,-4,-23,5.928362,19.0641273333,3,5.928362,9.53206366667
12,phase3g_execution_mean,g0_n-17,0,-17,9.96454066667,17.174603,3,9.96454066667,8.5873015
13,phase3h_sequence_mean,G,-18,-27,-7.62912316667,9.35325416667,3,-7.62912316667,4.67662708334
14,phase3h_sequence_mean,A,-14,-34,-4.09875366667,20.1738095,3,-4.09875366667,10.08690475
15,phase3h_sequence_mean,F,-14,-23,-3.63075866667,8.9559525,3,-3.63075866667,4.47797625
16,phase3h_sequence_mean,E,-10,-20,0.273342166667,10.2753968333,3,0.273342166667,5.13769841665
17,phase3h_sequence_mean,D,-6,-18,4.13686033333,12.778889,3,4.13686033333,6.3894445
18,phase3h_sequence_mean,B,-2,-28,7.89956533333,26.2916661667,3,7.89956533333,13.1458330834
19,phase3h_sequence_mean,C,0,-21,9.92472983333,21.690476,3,9.92472983333,10.845238
