execution_number,lag_seconds,paired_rows,relative_rsrp_correlation,sinr_correlation
1,-3,302,0.770152090243,0.508264114137
1,-2,303,0.821111528941,0.559235702304
1,-1,304,0.902701681775,0.667388673824
1,0,305,0.999547583391,0.793078746546
1,1,304,0.913595711651,0.743160140514
1,2,303,0.82962889725,0.649626195655
1,3,302,0.775207168506,0.581462418773
2,-3,302,0.769481925469,0.507046403583
2,-2,303,0.821217197662,0.559678385438
2,-1,304,0.90364052542,0.666396453607
2,0,305,0.99969438777,0.803829684947
2,1,304,0.910398824829,0.764839258826
2,2,303,0.826619679912,0.673770053592
2,3,302,0.774165765195,0.606259655033
3,-3,302,0.770258265494,0.537346864945
3,-2,303,0.822326363651,0.588068488273
3,-1,304,0.904597351148,0.695131319211
3,0,305,0.999664847647,0.827343133319
3,1,304,0.910701799906,0.785706354022
3,2,303,0.827362768105,0.700175928982
3,3,302,0.773661284952,0.641824780591
