command_index,trace_row_index,trace_time_bin,trace_t_s,target_relative_rsrp_db,target_sinr_db,projected_relative_rsrp_db,projected_sinr_db,commanded_gain_db,commanded_noise_power_db,clipped,clipping_distance_scaled,triangle_index,vertex_0,vertex_1,vertex_2,barycentric_0,barycentric_1,barycentric_2
0,0,0,0,2.8,18.3,2.8,18.3,-7.133590637,-25.191376351,False,0,11,11,8,9,0.216602340654,0.208193677554,0.575203981792
1,1,1,1,3.05,17.2,3.05,17.2,-6.911845894,-23.815166716,False,0,12,9,17,11,0.674565120965,0.106792705141,0.218642173894
2,2,2,2,1.8,14.05,1.8,14.05,-8.254703293,-21.839262061,False,0,26,10,7,16,0.872648353707,0.0469826769253,0.0803689693682
3,3,3,3,1.2,13.6,1.2,13.6,-8.86689199,-22.169997625,False,0,27,6,7,10,0.0566658750635,0.376780119769,0.566554005168
4,4,4,4,2.55,16.4,2.55,16.4,-7.435098361,-23.445059902,False,0,12,9,17,11,0.75273381713,0.212081546456,0.0351846364133
5,5,5,5,2.65,15.6,2.65,15.6,-7.363962186,-22.494581017,False,0,24,17,9,10,0.3180189069,0.588885548185,0.093095544915
6,6,6,6,3.3,14.75,3.3,14.75,-6.754575743,-20.93758908,False,0,12,9,17,11,0.402002369775,0.573283131919,0.0247144983054
7,7,7,7,2.55,14.75,2.55,14.75,-7.486759374,-21.710050227,False,0,24,17,9,10,0.256620313054,0.245510493172,0.497869193775
8,8,8,8,2.9,15.3,2.9,15.3,-7.129417692,-21.921099036,False,0,24,17,9,10,0.435291153938,0.554087884032,0.0106209620303
9,9,9,9,3,14.1,3,14.1,-7.067865607,-20.562801637,False,0,24,17,9,10,0.466067196429,0.142356807723,0.391575995848
10,10,10,10,2.75,15.4,2.75,15.4,-7.272534441,-22.181565661,False,0,24,17,9,10,0.363732779321,0.545498926179,0.0907682944997
11,11,11,11,2.6,14.75,2.6,14.75,-7.438057935,-21.658070754,False,0,24,17,9,10,0.280971032257,0.260651627599,0.458377340144
12,12,12,12,2.35,12.45,2.35,12.45,-7.8015685,-19.703867484,False,0,25,16,17,10,0.316544919398,0.415760669228,0.267694411375
13,13,13,13,2.55,13.8,2.55,13.8,-7.523228072,-20.746997269,False,0,25,16,17,10,0.0499098123659,0.288295776502,0.661794411132
14,14,14,14,2.25,12.95,2.25,12.95,-7.872115146,-20.286304898,False,0,25,16,17,10,0.242987565854,0.306929992656,0.45008244149
15,15,15,15,2.5,13.15,2.5,13.15,-7.611064128,-20.192597188,False,0,25,16,17,10,0.171588511214,0.366056447273,0.462355041513
16,16,16,16,2.7,14.45,2.7,14.45,-7.349617757,-21.240527194,False,0,24,17,9,10,0.325191121685,0.180430560164,0.494378318152
17,17,17,17,2.2,12.95,2.2,12.95,-7.921989229,-20.342629497,False,0,25,16,17,10,0.250224826754,0.289230212441,0.460544960804
18,18,18,18,2.6,13.7,2.6,13.7,-7.479194293,-20.596715027,False,0,25,16,17,10,0.0602789265344,0.320681779946,0.61903929352
19,19,19,19,2.9,15.1,2.9,15.1,-7.135392824,-21.712042628,False,0,24,17,9,10,0.432303587952,0.480418993171,0.0872774188768
20,20,20,20,2.65,16.9,2.65,16.9,-7.31799837,-23.884447775,False,0,12,9,17,11,0.764953641776,0.129091901657,0.105954456566
21,21,21,21,2.15,15.55,2.15,15.55,-7.852470353,-22.96211165,False,0,24,17,9,10,0.0737648233705,0.419056981194,0.507178195436
22,22,22,22,1.4,16.35,1.4,16.35,-8.573618442,-24.548729482,False,0,28,10,9,6,0.150423505948,0.562767273179,0.286809220873
23,23,23,23,1.3,15.95,1.3,15.95,-8.685812938,-24.22884482,False,0,28,10,9,6,0.257051726779,0.400041804174,0.342906469047
24,24,24,24,3,17.35,3,17.35,-6.955749422,-24.025315733,False,0,12,9,17,11,0.701224107323,0.0754264963217,0.223349396355
25,25,25,25,1.75,17.85,1.75,17.85,-8.187802225,-25.756744261,False,0,14,8,5,9,0.158346974584,0.0939011123587,0.747751913057
26,26,26,26,2.25,15.7,2.25,15.7,-7.750586127,-23.01494501,False,0,24,17,9,10,0.124706936266,0.504590918195,0.370702145539
27,27,27,27,-2.8,14.3,-2.8,14.3,-12.824128913,-26.833653528,False,0,23,1,3,2,0.206032228374,0.526136976182,0.267830795444
28,28,28,28,-2.05,18.95,-2.05,18.95,-11.969130307,-30.751752278,False,0,21,2,5,14,0.0673143942246,0.474060226056,0.458625379719
29,29,29,29,-1,16.6,-1,16.6,-10.956866341,-27.344544982,False,0,19,6,5,2,0.218485005912,0.303081823436,0.478433170652
30,30,30,30,0.15,16.3,0.15,16.3,-9.828014803,-25.75676749,False,0,13,9,5,6,0.0859925984455,0.252255830039,0.661751571516
31,31,31,31,-4.05,13.7,-4.05,13.7,-14.098184717,-27.450920268,False,0,9,3,1,15,0.456363750965,0.505456109447,0.0381801395878
32,32,32,32,-3,14.95,-3,14.95,-12.996919328,-27.698702112,False,0,23,1,3,2,0.24922983211,0.266585850851,0.48418431704
33,33,33,33,-3.05,16.7,-3.05,16.7,-13.000487837,-29.524291703,False,0,22,14,1,2,0.204809556974,0.147717180757,0.64747326227
34,34,34,34,-3.6,18.55,-3.6,18.55,-13.524208438,-31.899775869,False,0,22,14,1,2,0.627534329885,0.0672849446689,0.305180725446
35,35,35,35,-2.2,14.4,-2.2,14.4,-12.222623843,-26.359274353,False,0,23,1,3,2,0.055655960705,0.584012522769,0.360331516526
36,36,36,36,-0.65,14.9,-0.65,14.9,-10.666252975,-25.15962353,False,0,20,2,3,6,0.0532078433546,0.279918644002,0.666873512643
37,37,37,37,0.95,20.05,0.95,20.05,-8.959205457,-28.754407714,False,0,5,5,8,14,0.102398871075,0.771866509847,0.125734619078
38,38,38,38,-1.3,18.95,-1.3,18.95,-11.220185205,-29.99494066,False,0,5,5,8,14,0.612622272301,0.0548876176653,0.332490110033
39,39,39,39,1.2,16.85,1.2,16.85,-8.759520985,-25.27896739,False,0,13,9,5,6,0.620239507526,0.0929891301204,0.286771362354
40,40,40,40,1.05,17.1,1.05,17.1,-8.903826404,-25.702794218,False,0,13,9,5,6,0.548086798032,0.234264739255,0.217648462713
