execution_id,stage,commanded_gain_db,commanded_noise_power_db,samples,sinr_mean_db,sinr_sd_db,sinr_mean_absolute_deviation_db,sinr_range_db
e07-factorial-r1-p1-gm8-nm25,factorial,-8,-25,15,17.4271428667,0.678298500957,0.536317537778,2.266667
e08-factorial-r1-p2-gm12-nm22,factorial,-12,-22,15,10.2203173333,0.523457333426,0.411936666667,1.914286
e09-factorial-r1-p3-gm10-nm22,factorial,-10,-22,15,12.198254,0.580872612714,0.448825466667,2.193333
e10-factorial-r1-p4-gm12-nm25,factorial,-12,-25,15,13.7538730667,0.342462748527,0.278154462222,1.164286
e11-factorial-r1-p5-gm8-nm22,factorial,-8,-22,15,14.1501269333,0.417323007744,0.34124448,1.542857
e12-factorial-r1-p6-gm12-nm28,factorial,-12,-28,15,15.8240636,0.506914616033,0.42785616,1.747619
e13-factorial-r1-p7-gm10-nm25,factorial,-10,-25,15,15.3656508667,0.848556432124,0.660266693333,2.778572
e14-factorial-r1-p8-gm10-nm28,factorial,-10,-28,15,17.9900953333,0.488482318325,0.372406444444,1.934762
e15-factorial-r1-p9-gm8-nm28,factorial,-8,-28,15,20.0054286,0.433294614217,0.346209626667,1.569524
e16-factorial-r2-p1-gm10-nm25,factorial,-10,-25,15,15.4916508,0.504949726732,0.397477146667,1.957143
e17-factorial-r2-p2-gm10-nm22,factorial,-10,-22,15,11.7535556667,0.682344760566,0.593252844444,1.94
e18-factorial-r2-p3-gm8-nm25,factorial,-8,-25,15,17.2007937333,0.512416953811,0.408634853333,1.98
e19-factorial-r2-p4-gm8-nm28,factorial,-8,-28,15,20.3286666,0.387831647,0.311695146667,1.155714
e20-factorial-r2-p5-gm12-nm25,factorial,-12,-25,15,12.9467301333,0.581066024944,0.472321608889,1.914285
e21-factorial-r2-p6-gm12-nm28,factorial,-12,-28,15,16.1783175333,0.554487977865,0.481574693333,1.66
e22-factorial-r2-p7-gm12-nm22,factorial,-12,-22,15,9.80067473333,0.645015241465,0.437645377778,2.771428
e23-factorial-r2-p8-gm10-nm28,factorial,-10,-28,15,17.9815018,0.421545638205,0.293211413333,1.657144
e24-factorial-r2-p9-gm8-nm22,factorial,-8,-22,15,14.8993015333,0.421533375783,0.359348097778,1.245714
e25-factorial-r3-p1-gm12-nm28,factorial,-12,-28,15,16.3171428667,0.522656576022,0.456380924444,1.457143
e26-factorial-r3-p2-gm10-nm28,factorial,-10,-28,15,18.415619,0.498878079029,0.353523733333,2.128571
e27-factorial-r3-p3-gm10-nm22,factorial,-10,-22,15,11.8014602667,0.371701012706,0.302950248889,1.214286
e28-factorial-r3-p4-gm8-nm25,factorial,-8,-25,15,17.1675236667,0.613383107944,0.527924,1.907143
e29-factorial-r3-p5-gm10-nm25,factorial,-10,-25,15,15.2659365333,0.591902610985,0.476308951111,1.808571
e30-factorial-r3-p6-gm12-nm22,factorial,-12,-22,15,10.4275556667,0.461108546227,0.370725911111,1.48
e31-factorial-r3-p7-gm8-nm22,factorial,-8,-22,15,14.3866350667,0.563936589664,0.450124737778,1.995714
e32-factorial-r3-p8-gm8-nm28,factorial,-8,-28,15,20.5095874,0.464754552247,0.404385226667,1.457143
e33-factorial-r3-p9-gm12-nm25,factorial,-12,-25,15,13.3626348667,0.44348633912,0.30982864,1.828096
e34-boundary-r1-p1-gm16-nm30,boundary,-16,-30,15,14.3039682667,0.405804922189,0.313883511111,1.391428
e35-boundary-r1-p2-gp0-nm17,boundary,0,-17,15,16.9691428,0.526753194814,0.44067312,1.614286
e36-boundary-r1-p3-gm18-nm35,boundary,-18,-35,15,17.2338093333,0.476246991987,0.360127111111,1.807144
e37-boundary-r1-p4-gm4-nm23,boundary,-4,-23,15,19.1636507333,0.394355388145,0.302285786667,1.414286
e38-boundary-r2-p1-gm18-nm35,boundary,-18,-35,15,17.8247620667,0.78175285522,0.619047555556,2.707143
e39-boundary-r2-p2-gm4-nm23,boundary,-4,-23,15,18.9571112,0.493207335569,0.41425168,1.56381
e40-boundary-r2-p3-gm16-nm30,boundary,-16,-30,15,14.7443808,0.415716843762,0.307149386667,1.614286
e41-boundary-r2-p4-gp0-nm17,boundary,0,-17,15,17.524254,0.553027559523,0.392084666667,2.028571
e42-boundary-r3-p1-gm16-nm30,boundary,-16,-30,15,14.225397,0.609110458687,0.4963596,1.871428
e43-boundary-r3-p2-gm4-nm23,boundary,-4,-23,15,19.1336828,0.366979493476,0.286150453333,1.25
e44-boundary-r3-p3-gm18-nm35,boundary,-18,-35,15,17.0899636,0.475432164228,0.406989013333,1.500549
e45-boundary-r3-p4-gp0-nm17,boundary,0,-17,15,16.9792381333,0.484217580884,0.39031104,1.527143
