bin_size_m,route_bin_id,route_start_m,route_end_m,route_center_m,sample_count,dwell_seconds,eligible,locked_role,target_route_fraction,selection_basis
10,0,0.000000,9.651306,4.825653,64,32.103000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,1,10.542096,19.973947,15.258021,22,10.646000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,2,21.017409,29.955525,25.486467,21,10.193000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,3,30.846314,39.170837,35.008575,22,10.691000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,4,40.115986,49.408954,44.762470,21,10.294000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,5,50.375275,59.229036,54.802156,20,9.609000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,6,60.129898,69.343600,64.736749,22,10.709000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,7,70.244462,79.626464,74.935463,25,12.342000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,8,80.517255,89.844700,85.180978,23,11.349000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,9,90.765704,99.829016,95.297360,22,10.741000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,10,100.872481,109.200729,105.036605,19,9.168000,False,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,11,110.091521,119.472602,114.782061,24,11.718000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,12,120.331833,129.622400,124.977117,21,10.224000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,13,130.567555,139.718102,135.142828,22,10.678000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,14,140.684427,149.169039,144.926733,20,9.736000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,15,150.114194,159.391289,154.752741,21,10.223000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,16,160.312295,169.621935,164.967115,24,11.787000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,17,170.481167,178.889686,174.685427,21,10.189000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,18,180.179291,189.692518,184.935905,24,11.699000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,19,190.581003,199.093022,194.837012,19,9.180000,False,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
10,20,200.073068,209.464237,204.768653,24,11.685000,True,binning_sensitivity_only,,geometry_sample_count_and_dwell_only
