source_path,source_sha256,device,filename_test_id,corrected_test_id,sensitivity_test_id,correction_status,corrected_test_description,corrected_test_comments,device_status_in_corrected_test,analysis_role,observed_radio_start_time,observed_radio_end_time,recorded_original_test_start_time,recorded_corrected_test_start_time,original_start_offset_seconds,corrected_start_offset_seconds,gps_pair_source_path,gps_pairs_within_1s,gps_median_separation_m,gps_p95_separation_m,complete_radio_triplets_raw,complete_radio_gps_rows_raw,duplicate_route_timestamps,trim_last_seconds,route_rows_retained
Test_1/Test_1_Asus.csv,f8d563fea1df3e1bebbbbe23abfa170c7a4f02d8a876f5fc38b90badd5dc0b94,ASUS,1,2,1,provisional_timestamp_gps_supported,"Test with all 3 UEs, all have same 5QI and RAN Resources","Test was stopped 1 minute late, disregard last minute of data",On top of robot,external_transfer_candidate,11:53:35.708,11:58:45.018,11:45:48,11:53:42,467.708000,-6.292000,Test_2/Test_2_S25.csv,602,3.648863,5.485336,604,604,0,60.000000,486
Test_1/Test_1_S25.csv,3196181b7551d5ec0c2140a6045c61e21c8decabddc943d158ff7a029e8b0983,S25,1,1,1,filename_consistent,Test with a single UE operating with Nemo,,Disabled,inactive_device_diagnostic_only,11:45:33.404,11:50:33.655,11:45:48,11:45:48,-14.596000,-14.596000,Test_2/Test_2_ASUS.csv,568,3.579551,5.033575,570,568,0,0.000000,568
Test_2/Test_2_ASUS.csv,2bfdb1f3f805990ee6a170bf2b24f5c7968e1f88e94fb88774b712988a5feb61,ASUS,2,1,2,provisional_timestamp_gps_supported,Test with a single UE operating with Nemo,,On top of robot,primary_calibration_reference,11:45:31.032,11:50:35.145,11:53:42,11:45:48,-490.968000,-16.968000,Test_1/Test_1_S25.csv,592,3.579551,5.010434,597,597,0,0.000000,597
Test_2/Test_2_S25.csv,83d8cff7659d60fcb3216c6e395ab93110cf177f912a071e4f59a3f7bea760c9,S25,2,2,2,filename_consistent,"Test with all 3 UEs, all have same 5QI and RAN Resources","Test was stopped 1 minute late, disregard last minute of data",On,external_transfer_candidate,11:53:37.409,11:58:46.603,11:53:42,11:53:42,-4.591000,-4.591000,Test_1/Test_1_Asus.csv,601,3.684020,5.485336,604,603,0,60.000000,486
Test_3/Test_3_ASUS.csv,d1ad2fc46d99b31d8438717ccc36d8859c47a426cd97dd686e62a268bcf7328d,ASUS,3,3,3,filename_consistent,"Test with all 3 UEs, all have same 5QI and RAN Resources are different",,On top of robot (20% RAN),external_transfer_candidate,12:10:51.672,12:15:51.128,12:11:00,12:11:00,-8.328000,-8.328000,Test_3/Test_3_S25.csv,574,2.319914,10.709923,582,581,0,0.000000,581
Test_3/Test_3_S25.csv,b07409a1c5b1c66dca655e0c371ceafd3791aa097b81f328165320cac14d9217,S25,3,3,3,filename_consistent,"Test with all 3 UEs, all have same 5QI and RAN Resources are different",,On (30% RAN),external_transfer_candidate,12:10:53.057,12:15:47.320,12:11:00,12:11:00,-6.943000,-6.943000,Test_3/Test_3_ASUS.csv,573,2.319915,10.713521,574,573,0,0.000000,573
Test_4/Test_4_ASUS.csv,30ed11d9f468e9ed843c3fc71fceb53e304e736e936caf17893c8828cf89e071,ASUS,4,4,4,filename_consistent,"Test with all 3 UEs, different 5QI and RAN Resources",,On top of robot (20% RAN 5QI 9),external_transfer_candidate,12:25:46.468,12:30:42.902,12:25:53,12:25:53,-6.532000,-6.532000,Test_4/Test_4_S25.csv,569,2.928035,6.851853,577,576,0,0.000000,576
Test_4/Test_4_S25.csv,e89e27fc6c90d6095cd8985c4ba996465a89118b825dfdd64bacceed2c1dac57,S25,4,4,4,filename_consistent,"Test with all 3 UEs, different 5QI and RAN Resources",,On (30% RAN 5QI 7),external_transfer_candidate,12:25:48.187,12:30:39.480,12:25:53,12:25:53,-4.813000,-4.813000,Test_4/Test_4_ASUS.csv,572,2.930094,6.881903,573,572,0,0.000000,572
Test_5/Test 5 ASUS.csv,4c0523675f7c4302947dfabf175ce70fef80066eb7c45615cd821d5f1fced16d,ASUS,5,5,5,filename_consistent,"Test with all 3 UEs, different 5QI same RAN Resources",,On top of robot (5QI 9),external_transfer_candidate,12:34:36.747,12:39:32.063,12:34:43,12:34:43,-6.253000,-6.253000,Test_5/Test 5 S25.csv,569,2.450533,4.843761,576,575,0,0.000000,575
Test_5/Test 5 S25.csv,6c87e3e5784b4d00c2f335d5e2196be5a0b0024ff2c875579ad4209bb79a3d12,S25,5,5,5,filename_consistent,"Test with all 3 UEs, different 5QI same RAN Resources",,On (5QI 7),external_transfer_candidate,12:34:38.469,12:39:29.277,12:34:43,12:34:43,-4.531000,-4.531000,Test_5/Test 5 ASUS.csv,564,2.450532,4.844517,566,564,0,0.000000,564
