input_kind,source_id,sha256,rows_read,rows_after_frozen_filter,aggregated_rows,ploss,noise_power_dB,repetition
upv_route_observations,route_observations.csv,57727db8a0be55308c3f756781ddc13961962f71198d69c93c24bb239f2d85ab,597,31,16,,,
upv_locked_split,locked_spatial_split.csv,3992ef7a2e31377debeb4abcaa1808c12202f2f06d9cdf8635d1556619163cee,55,1,,,,
upv_source_archive,upv_remote_driving_n40_v1.zip,a8c5a7ab9b683dedc4f770ceab5aebf80eec5d38a99f813808637cb7fa171753,,34,17,,,
rfsim_execution,mgen-20260810-172302,95d53e32702566bc767d0bca1706767cefb5a7a13a3c3e8c5ce97dd39cbd0e10,192,160,160,-20,-30,1
rfsim_execution,mgen-20260810-180852,dcc3484250a453f8b2bab158c8674c91a49b008218b88f606a4dbd40f91bf81c,192,160,160,-20,-30,2
rfsim_execution,mgen-20260810-171719,3a0cb85f516308b016e01343ecc8b32bfcc897e73e3569cc7f7e6fc75daec295,192,160,160,-15,-30,1
rfsim_execution,mgen-20260810-180309,7b7d26271808bc2f463dcab2854e4a55cdf55d30c3b375ebe864c33a2f1fdac2,192,160,160,-15,-30,2
rfsim_execution,mgen-20260810-171135,960169fae141a73e741f1fd4991745d961acd867324a28124c055a10aa6435e1,192,160,160,-10,-30,1
rfsim_execution,mgen-20260810-175727,40b44f26f78807a80e6faa0d248f5ac04aab3ab49582084be8c97fb31031aa49,193,160,160,-10,-30,2
rfsim_execution,mgen-20260810-170448,bf7187f30479a5d7476f4f7dbd76cee075b386e8cff5384966312af467f575bd,192,160,160,-5,-30,1
rfsim_execution,mgen-20260810-175146,3a7a65fe08d811d252bbd949f06c9e0304d2d7fb4c3954c8fff169420cbc881b,192,160,160,-5,-30,2
rfsim_execution,mgen-20260810-193641,a7dbd5cd5159ae8a07ec38e5c65f780f8ad5bd9bfb07224e53b47f8862de009f,193,160,160,-5,-7,1
rfsim_execution,mgen-20260810-194833,43963a4d1b6abb1cb3859afd10b6d9c3cb3e56a3133a13fdd8046ff904984eb3,192,160,160,-5,-7,2
rfsim_execution,mgen-20260810-172844,ab1af817a6550ee7db5d028fb02ecdeb63008723956cb8d24e92f4de039f856b,192,160,160,0,-20,1
rfsim_execution,mgen-20260810-181441,72ba77ff4b9fb80ec0afa968db802a99c3b7477e99187ec5f3fe6e894cfc3bc0,192,160,160,0,-20,2
rfsim_execution,mgen-20260810-173427,2abffc1af0a8905e5abf3ff1e3fe7077be4f2c1e591881de62c8ccbcd5196ca1,192,160,160,0,-10,1
rfsim_execution,mgen-20260810-182024,9fb2393f47ee00465f75874fa5935d11ec057dfaa681ab6130f644f3023c8a2c,192,160,160,0,-10,2
rfsim_execution,mgen-20260810-174009,73974ac909dcdf0436cfc086621ce724919b3f41b597dbf3a8c313802458efd1,192,160,160,0,-5,1
rfsim_execution,mgen-20260810-182607,ab1fa6b53092f0a7f4751e4ce9f55e5ba1ec0028b89cb691c2ed6cb76a254cf5,191,160,160,0,-5,2
