path,manifest_sha256,verified_files,bundle
manifests/upv_phase3j_full_trace_v1,f44eeb7816fd48aa80949be79b277dd599befb11eb7ed13dd273a01c127ad65d,8,phase3j_protocol
manifests/upv_phase3j_full_trace_result_v1,5015e6fd726f2d4997efe0c5cfae581e19628d0e4622628f9b2ff4a5992945b0,6,phase3j_result
manifests/upv_phase3k_model_release_v1,7704b33e7c6e393c78c7968878966074fe1ccad835a4e53b53f738b33e932d83,3,phase3k_model_release
manifests/upv_phase3k_test6_support_result_v1,a375c26c80bdde80ae675f9439f8d2038bebdfd5708c5faa267038729840527e,5,phase3k_test6_support
manifests/upv_phase3l_test6_exploratory_v1,279c83a3f3689843e4030e5dbcbf14a8bf8aa6eb0e6256375d86f98a4e966b07,5,phase3l_protocol
manifests/upv_phase3l_test6_exploratory_result_v1,bdb6e4bfd2dccd9661b66255670c02218a382813813796ddd528ad5d62e3f0f5,5,phase3l_result
manifests/upv_phase3m_sinr_dynamics_v1,c09b0efe5b37aabb66564ac2146231e183b41b950b891843067c7cf7e8d7d17f,3,phase3m_protocol
manifests/upv_phase3m_sinr_dynamics_result_v1,f4dce99fd9ed57fe7753a15fdc174453b4f0e1fbb02b01f9ea19845ba875022c,8,phase3m_result
reports/figures/upv_version1/test1_complete_replay.png,c5a208961c6372616f3dbb77c1936a40c1b357ab09ca60a36c29ba921d14fcec,1,generated_release_artifact
reports/figures/upv_version1/test1_complete_replay.pdf,a5e5705206e13ac3f7e5f2f4533ec903bb723315424b59fc952a1322939776a3,1,generated_release_artifact
reports/figures/upv_version1/test6_exploratory_replay.png,9a63cc5ee4830cb8ba20ab8953c83f22445432ebf4ccfa56fba4af0adf096b91,1,generated_release_artifact
reports/figures/upv_version1/test6_exploratory_replay.pdf,38ea6150db85b2cb8400185edd18e1e8df1b40816c5fd30b0537dcd0cfc88ecd,1,generated_release_artifact
reports/figures/upv_version1/test6_error_decomposition.png,a71b8b03dca23b3c4a57af590c545da27c0bb2e632cb77d059ae1e5b661e811e,1,generated_release_artifact
reports/figures/upv_version1/test6_error_decomposition.pdf,c83edcb1b823bf5d2a66868de79fbcc43efc26d0956188516549b3877b1f1a4a,1,generated_release_artifact
reports/figures/upv_version1/phase3m_ablation.png,03e44bdc1a3f9d3c1db896edfcbe7d67f2973c86d7ad43cdee7a67d38f5a8be4,1,generated_release_artifact
reports/figures/upv_version1/phase3m_ablation.pdf,6f15f5fe263ee733b439b5fdb5a26f5c6c00073bd4414e8d055ace6501932626,1,generated_release_artifact
reports/UPV_VERSION1_FINAL_RESULT.md,1eadaf17a7203f6cab75bff67000372c4db1cc195c69f20002217980e760bfb2,1,generated_release_artifact
